Hard,Clay,Carpet,Grass,best_of,minutes,opp_hand,opp_ht,opp_age,opp_ace,opp_df,opp_svpt,opp_1stWon,opp_2ndWon,opp_bpSaved,opp_bpFaced
0.0,0.0,0.0,1.0,0.0,77.0,0.0,178.0,31.6,0.0,0.0,58.0,20.0,13.0,1.0,4.0
0.0,0.0,0.0,1.0,0.0,174.0,0.0,190.0,28.1,6.0,4.0,108.0,50.0,20.0,5.0,7.0
0.0,0.0,0.0,1.0,0.0,106.0,0.0,190.0,23.6,1.0,2.0,56.0,22.0,9.0,4.0,7.0
0.0,0.0,0.0,1.0,0.0,76.0,0.0,183.0,22.5,2.0,2.0,55.0,24.0,4.0,4.0,8.0
0.0,0.0,0.0,1.0,0.0,147.0,1.0,201.0,21.4,14.0,5.0,106.0,48.0,17.0,6.0,10.0
0.0,0.0,0.0,1.0,0.0,101.0,0.0,178.0,30.4,2.0,3.0,74.0,28.0,10.0,2.0,7.0
0.0,0.0,0.0,1.0,0.0,58.0,0.0,180.0,23.4,3.0,3.0,57.0,18.0,5.0,9.0,15.0
0.0,0.0,0.0,1.0,0.0,54.0,0.0,180.0,26.6,0.0,2.0,47.0,19.0,5.0,4.0,8.0
0.0,0.0,0.0,1.0,0.0,67.0,0.0,198.0,24.5,6.0,3.0,66.0,27.0,8.0,6.0,9.0
0.0,0.0,0.0,1.0,0.0,84.0,0.0,180.0,29.1,8.0,0.0,72.0,34.0,16.0,3.0,4.0
0.0,0.0,0.0,1.0,0.0,60.0,1.0,190.0,26.8,3.0,3.0,48.0,16.0,10.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,57.0,1.0,188.0,25.4,1.0,2.0,40.0,17.0,3.0,4.0,8.0
0.0,0.0,0.0,1.0,0.0,97.0,1.0,185.0,20.7,1.0,1.0,54.0,28.0,5.0,4.0,7.0
0.0,0.0,0.0,1.0,0.0,63.0,0.0,190.0,19.8,1.0,5.0,44.0,10.0,8.0,4.0,9.0
0.0,0.0,0.0,1.0,1.0,140.0,0.0,185.0,29.3,6.0,5.0,69.0,24.0,16.0,3.0,7.0
0.0,0.0,0.0,1.0,0.0,82.0,0.0,183.0,24.4,6.0,1.0,67.0,24.0,11.0,7.0,12.0
0.0,0.0,0.0,1.0,0.0,55.0,0.0,185.0,19.0,3.0,2.0,49.0,9.0,11.0,5.0,10.0
0.0,0.0,0.0,1.0,0.0,91.0,0.0,185.0,25.2,4.0,3.0,60.0,19.0,10.0,3.0,8.0
0.0,0.0,0.0,1.0,0.0,77.0,0.0,175.0,24.9,3.0,3.0,49.0,20.0,8.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,63.0,0.0,190.0,19.8,3.0,0.0,46.0,12.0,12.0,3.0,8.0
0.0,0.0,0.0,1.0,0.0,88.0,0.0,180.0,25.9,5.0,0.0,71.0,37.0,11.0,2.0,3.0
0.0,0.0,0.0,1.0,0.0,129.0,0.0,183.0,33.0,2.0,1.0,116.0,54.0,12.0,11.0,16.0
0.0,0.0,0.0,1.0,0.0,146.0,0.0,180.0,24.8,6.0,0.0,94.0,38.0,20.0,6.0,10.0
0.0,1.0,0.0,0.0,0.0,102.0,0.0,175.0,28.3,1.0,4.0,85.0,24.0,14.0,8.0,15.0
0.0,1.0,0.0,0.0,0.0,113.0,0.0,185.0,25.3,3.0,3.0,77.0,28.0,17.0,3.0,6.0
0.0,1.0,0.0,0.0,0.0,158.0,1.0,185.0,25.8,3.0,0.0,101.0,45.0,13.0,4.0,11.0
0.0,1.0,0.0,0.0,0.0,132.0,0.0,193.0,22.7,4.0,1.0,83.0,35.0,12.0,1.0,6.0
0.0,1.0,0.0,0.0,0.0,95.0,0.0,183.0,21.8,4.0,2.0,65.0,17.0,14.0,4.0,10.0
0.0,0.0,0.0,1.0,0.0,84.0,0.0,183.0,30.0,4.0,3.0,54.0,25.0,7.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,70.0,0.0,180.0,25.5,5.0,2.0,56.0,21.0,11.0,5.0,8.0
0.0,0.0,0.0,1.0,0.0,106.0,0.0,188.0,24.9,5.0,1.0,72.0,34.0,13.0,4.0,6.0
0.0,0.0,0.0,1.0,0.0,111.0,1.0,185.0,21.1,2.0,2.0,61.0,26.0,11.0,2.0,4.0
0.0,0.0,0.0,1.0,0.0,133.0,0.0,185.0,25.9,15.0,1.0,102.0,53.0,14.0,3.0,6.0
0.0,1.0,0.0,0.0,0.0,71.0,0.0,180.0,21.4,0.0,0.0,43.0,16.0,5.0,3.0,7.0
0.0,1.0,0.0,0.0,0.0,163.0,0.0,185.0,23.7,3.0,3.0,102.0,39.0,25.0,5.0,8.0
0.0,1.0,0.0,0.0,0.0,56.0,0.0,183.0,27.3,0.0,2.0,46.0,13.0,8.0,1.0,6.0
0.0,1.0,0.0,0.0,0.0,163.0,0.0,188.0,23.9,4.0,2.0,104.0,34.0,21.0,10.0,15.0
0.0,1.0,0.0,0.0,0.0,79.0,0.0,180.0,24.9,0.0,0.0,60.0,27.0,6.0,6.0,10.0
0.0,1.0,0.0,0.0,0.0,131.0,0.0,185.0,20.8,4.0,5.0,69.0,31.0,11.0,2.0,6.0
0.0,0.0,0.0,1.0,0.0,114.0,0.0,193.0,24.6,5.0,2.0,84.0,35.0,14.0,1.0,5.0
0.0,0.0,0.0,1.0,0.0,98.0,0.0,180.0,30.8,5.0,3.0,84.0,30.0,22.0,11.0,13.0
0.0,1.0,0.0,0.0,1.0,131.0,0.0,188.0,19.4,5.0,2.0,95.0,39.0,15.0,7.0,11.0
0.0,1.0,0.0,0.0,1.0,135.0,0.0,178.0,22.8,0.0,0.0,108.0,38.0,22.0,5.0,11.0
0.0,1.0,0.0,0.0,1.0,244.0,0.0,180.0,27.1,8.0,6.0,171.0,68.0,45.0,14.0,16.0
0.0,1.0,0.0,0.0,1.0,165.0,1.0,188.0,23.5,3.0,2.0,116.0,55.0,12.0,15.0,19.0
0.0,1.0,0.0,0.0,1.0,132.0,0.0,185.0,23.8,2.0,3.0,82.0,34.0,13.0,5.0,10.0
0.0,0.0,1.0,0.0,1.0,95.0,0.0,188.0,25.9,2.0,3.0,87.0,28.0,18.0,10.0,16.0
