,index,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
43,G676,1221,792,0.59,0.69,0.49,1949,0.58,3179,0.74,0.61,0.29,0.48,1701,0.37,3236,0.19,0.36,0.48
44,gb88,2642,1749,0.58,0.71,0.5,3456,0.6,6071,0.77,0.63,0.31,0.53,4070,0.41,6143,0.27,0.4,0.51
45,G806,679,534,0.59,0.68,0.5,1182,0.59,1871,0.74,0.61,0.28,0.46,896,0.4,1890,0.19,0.35,0.48
46,g892,179,109,0.6,0.66,0.48,378,0.55,541,0.68,0.58,0.27,0.49,272,0.38,546,0.19,0.36,0.47
47,G710,1821,1038,0.61,0.69,0.49,3181,0.57,5298,0.74,0.61,0.3,0.49,3074,0.4,5367,0.23,0.38,0.49
48,G858,4247,1916,0.6,0.75,0.48,2928,0.64,5654,0.81,0.65,0.28,0.48,2853,0.37,5653,0.19,0.35,0.5
49,h355,5992,3375,0.58,0.74,0.52,5263,0.62,10836,0.82,0.65,0.29,0.5,6230,0.4,10643,0.23,0.38,0.51
50,H756,2968,1270,0.59,0.72,0.49,3235,0.6,5745,0.78,0.63,0.28,0.48,2999,0.39,5776,0.2,0.36,0.49
51,H804,814,583,0.56,0.72,0.47,914,0.6,1437,0.75,0.61,0.26,0.45,646,0.37,1410,0.17,0.34,0.48
52,h528,1994,679,0.69,0.69,0.51,2784,0.62,5077,0.79,0.63,0.28,0.48,2567,0.38,5050,0.19,0.36,0.5
53,H940,1925,921,0.59,0.72,0.5,1926,0.62,3406,0.79,0.63,0.27,0.46,1559,0.38,3368,0.18,0.34,0.49
54,h996,1898,900,0.59,0.74,0.51,1458,0.62,2884,0.81,0.64,0.27,0.46,1240,0.38,2864,0.17,0.34,0.49
55,HB71,1855,467,0.63,0.75,0.52,1128,0.64,2552,0.84,0.66,0.28,0.48,1270,0.38,2512,0.19,0.36,0.51
56,i186,13941,1721,0.69,0.79,0.56,2974,0.71,10685,0.92,0.72,0.22,0.42,3550,0.3,10574,0.1,0.3,0.51
57,i165,2871,785,0.65,0.71,0.51,2956,0.62,5492,0.79,0.64,0.27,0.47,2645,0.38,5469,0.18,0.35,0.5
58,J267,895,687,0.54,0.71,0.48,1758,0.62,2646,0.75,0.6,0.26,0.48,1303,0.37,2662,0.18,0.35,0.48
59,J386,3252,1197,0.59,0.75,0.52,2320,0.66,4912,0.84,0.66,0.25,0.46,2221,0.36,4870,0.16,0.33,0.5
60,KC56,452,427,0.59,0.71,0.51,727,0.61,1278,0.78,0.63,0.3,0.5,793,0.39,1287,0.24,0.38,0.5
61,KE29,2699,943,0.62,0.73,0.52,2201,0.64,4435,0.82,0.65,0.28,0.5,2326,0.4,4446,0.21,0.37,0.51
62,K966,1265,993,0.58,0.69,0.49,2170,0.61,3336,0.75,0.61,0.29,0.51,1861,0.42,3354,0.23,0.37,0.49
63,KE73,333,301,0.62,0.67,0.49,709,0.61,1037,0.73,0.6,0.29,0.5,575,0.4,1049,0.22,0.37,0.49
