year,competition,nov_win,locations,in_out,surfaces,competition_rd,OpponentId,OpponentName
2008,ATP Masters 1000 Hamburg,True,Germany,Outdoor,Clay,QF,M824,Albert Montanes
2019,ATP Masters 1000 Paris,True,France,Indoor,Hard,R32,MW02,Corentin Moutet
2016,ATP Masters 1000 Paris,True,France,Indoor,Hard,R32,MA30,Gilles Muller
2016,ATP Masters 1000 Canada,True,Canada,Outdoor,Hard,R32,MA30,Gilles Muller
2015,Roland Garros,True,France,Outdoor,Clay,R64,MA30,Gilles Muller
2015,Australian Open,True,Australia,Outdoor,Hard,R16,MA30,Gilles Muller
2022,ATP Masters 1000 Madrid,True,Spain,Outdoor,Clay,R16,MC10,Andy Murray
2017,Doha,True,Qatar,Outdoor,Hard,F,MC10,Andy Murray
2016,ATP Finals,False,Great Britain,Indoor,Hard,F,MC10,Andy Murray
2016,Roland Garros,True,France,Outdoor,Clay,F,MC10,Andy Murray
2016,ATP Masters 1000 Rome,False,Italy,Outdoor,Clay,F,MC10,Andy Murray
2016,ATP Masters 1000 Madrid,True,Spain,Outdoor,Clay,F,MC10,Andy Murray
2016,Australian Open,True,Australia,Outdoor,Hard,F,MC10,Andy Murray
2015,ATP Masters 1000 Paris,True,France,Indoor,Hard,F,MC10,Andy Murray
2015,ATP Masters 1000 Shanghai,True,China,Outdoor,Hard,SF,MC10,Andy Murray
2015,ATP Masters 1000 Canada,False,Canada,Outdoor,Hard,F,MC10,Andy Murray
2015,Roland Garros,True,France,Outdoor,Clay,SF,MC10,Andy Murray
2015,ATP Masters 1000 Miami,True,"FL, U.S.A.",Outdoor,Hard,F,MC10,Andy Murray
2015,ATP Masters 1000 Indian Wells,True,"CA, U.S.A.",Outdoor,Hard,SF,MC10,Andy Murray
2015,Australian Open,True,Australia,Outdoor,Hard,F,MC10,Andy Murray
2014,ATP Masters 1000 Paris,True,France,Indoor,Hard,QF,MC10,Andy Murray
2014,Beijing,True,China,Outdoor,Hard,SF,MC10,Andy Murray
2014,US Open,True,"NY, U.S.A.",Outdoor,Hard,QF,MC10,Andy Murray
2014,ATP Masters 1000 Miami,True,"FL, U.S.A.",Outdoor,Hard,QF,MC10,Andy Murray
2013,Wimbledon,False,Great Britain,Outdoor,Grass,F,MC10,Andy Murray
2013,Australian Open,True,Australia,Outdoor,Hard,F,MC10,Andy Murray
2012,ATP Finals,True,Great Britain,Indoor,Hard,RR,MC10,Andy Murray
2012,ATP Masters 1000 Shanghai,True,China,Outdoor,Hard,F,MC10,Andy Murray
2012,US Open,False,"NY, U.S.A.",Outdoor,Hard,F,MC10,Andy Murray
2012,London Olympics,False,Great Britain,Outdoor,Grass,SF,MC10,Andy Murray
2012,ATP Masters 1000 Miami,True,"FL, U.S.A.",Outdoor,Hard,F,MC10,Andy Murray
2012,Dubai,False,U.A.E.,Outdoor,Hard,SF,MC10,Andy Murray
2012,Australian Open,True,Australia,Outdoor,Hard,SF,MC10,Andy Murray
2011,ATP Masters 1000 Cincinnati,False,"OH, U.S.A.",Outdoor,Hard,F,MC10,Andy Murray
2011,ATP Masters 1000 Rome,True,Italy,Outdoor,Clay,SF,MC10,Andy Murray
2011,Australian Open,True,Australia,Outdoor,Hard,F,MC10,Andy Murray
2009,ATP Masters 1000 Miami,False,"FL, U.S.A.",Outdoor,Hard,F,MC10,Andy Murray
2008,ATP Masters 1000 Cincinnati,False,"OH, U.S.A.",Outdoor,Hard,F,MC10,Andy Murray
2008,ATP Masters 1000 Canada,False,Canada,Outdoor,Hard,QF,MC10,Andy Murray
2008,ATP Masters 1000 Monte Carlo,True,Monaco,Outdoor,Clay,R16,MC10,Andy Murray
2007,ATP Masters 1000 Miami,True,"FL, U.S.A.",Outdoor,Hard,SF,MC10,Andy Murray
2007,ATP Masters 1000 Indian Wells,True,"CA, U.S.A.",Outdoor,Hard,SF,MC10,Andy Murray
2006,ATP Masters 1000 Madrid,True,Spain,Indoor,Hard,R16,MC10,Andy Murray
2022,Dubai,True,U.A.E.,Outdoor,Hard,R32,M0EJ,Lorenzo Musetti
2021,Roland Garros,True,France,Outdoor,Clay,R16,M0EJ,Lorenzo Musetti
2022,Roland Garros,False,France,Outdoor,Clay,QF,N409,Rafael Nadal
2021,Roland Garros,True,France,Outdoor,Clay,SF,N409,Rafael Nadal
2021,ATP Masters 1000 Rome,False,Italy,Outdoor,Clay,F,N409,Rafael Nadal
2020,Roland Garros,False,France,Outdoor,Clay,F,N409,Rafael Nadal
2020,ATP Cup,True,Australia,Outdoor,Hard,F,N409,Rafael Nadal
2019,ATP Masters 1000 Rome,False,Italy,Outdoor,Clay,F,N409,Rafael Nadal
2019,Australian Open,True,Australia,Outdoor,Hard,F,N409,Rafael Nadal
2018,Wimbledon,True,Great Britain,Outdoor,Grass,SF,N409,Rafael Nadal
2018,ATP Masters 1000 Rome,False,Italy,Outdoor,Clay,SF,N409,Rafael Nadal
2017,ATP Masters 1000 Madrid,False,Spain,Outdoor,Clay,SF,N409,Rafael Nadal
2016,ATP Masters 1000 Rome,True,Italy,Outdoor,Clay,QF,N409,Rafael Nadal
2016,ATP Masters 1000 Indian Wells,True,"CA, U.S.A.",Outdoor,Hard,SF,N409,Rafael Nadal
2016,Doha,True,Qatar,Outdoor,Hard,F,N409,Rafael Nadal
2015,ATP Finals,True,Great Britain,Indoor,Hard,SF,N409,Rafael Nadal
2015,Beijing,True,China,Outdoor,Hard,F,N409,Rafael Nadal
2015,Roland Garros,True,France,Outdoor,Clay,QF,N409,Rafael Nadal
2015,ATP Masters 1000 Monte Carlo,True,Monaco,Outdoor,Clay,SF,N409,Rafael Nadal
2014,Roland Garros,False,France,Outdoor,Clay,F,N409,Rafael Nadal
2014,ATP Masters 1000 Rome,True,Italy,Outdoor,Clay,F,N409,Rafael Nadal
2014,ATP Masters 1000 Miami,True,"FL, U.S.A.",Outdoor,Hard,F,N409,Rafael Nadal
2013,ATP Finals,True,Great Britain,Indoor,Hard,F,N409,Rafael Nadal
2013,Beijing,True,China,Outdoor,Hard,F,N409,Rafael Nadal
2013,US Open,False,"NY, U.S.A.",Outdoor,Hard,F,N409,Rafael Nadal
2013,ATP Masters 1000 Canada,False,Canada,Outdoor,Hard,SF,N409,Rafael Nadal
2013,Roland Garros,False,France,Outdoor,Clay,SF,N409,Rafael Nadal
2013,ATP Masters 1000 Monte Carlo,True,Monaco,Outdoor,Clay,F,N409,Rafael Nadal
2012,Roland Garros,False,France,Outdoor,Clay,F,N409,Rafael Nadal
2012,ATP Masters 1000 Rome,False,Italy,Outdoor,Clay,F,N409,Rafael Nadal
2012,ATP Masters 1000 Monte Carlo,False,Monaco,Outdoor,Clay,F,N409,Rafael Nadal
2012,Australian Open,True,Australia,Outdoor,Hard,F,N409,Rafael Nadal
2011,US Open,True,"NY, U.S.A.",Outdoor,Hard,F,N409,Rafael Nadal
2011,Wimbledon,True,Great Britain,Outdoor,Grass,F,N409,Rafael Nadal
2011,ATP Masters 1000 Rome,True,Italy,Outdoor,Clay,F,N409,Rafael Nadal
2011,ATP Masters 1000 Madrid,True,Spain,Outdoor,Clay,F,N409,Rafael Nadal
2011,ATP Masters 1000 Miami,True,"FL, U.S.A.",Outdoor,Hard,F,N409,Rafael Nadal
2011,ATP Masters 1000 Indian Wells,True,"CA, U.S.A.",Outdoor,Hard,F,N409,Rafael Nadal
2010,ATP Finals,False,Great Britain,Indoor,Hard,RR,N409,Rafael Nadal
2010,US Open,False,"NY, U.S.A.",Outdoor,Hard,F,N409,Rafael Nadal
2009,ATP Finals,True,Great Britain,Indoor,Hard,RR,N409,Rafael Nadal
2009,ATP Masters 1000 Paris,True,France,Indoor,Hard,SF,N409,Rafael Nadal
2009,ATP Masters 1000 Cincinnati,True,"OH, U.S.A.",Outdoor,Hard,SF,N409,Rafael Nadal
2009,ATP Masters 1000 Madrid,False,Spain,Outdoor,Clay,SF,N409,Rafael Nadal
2009,ATP Masters 1000 Rome,False,Italy,Outdoor,Clay,F,N409,Rafael Nadal
2009,ATP Masters 1000 Monte Carlo,False,Monaco,Outdoor,Clay,F,N409,Rafael Nadal
2009,ESP vs. SRB WG 1st RD,False,Spain,Outdoor,Clay,RR,N409,Rafael Nadal
2008,Beijing Olympics,False,China,Outdoor,Hard,SF,N409,Rafael Nadal
2008,ATP Masters 1000 Cincinnati,True,"OH, U.S.A.",Outdoor,Hard,SF,N409,Rafael Nadal
2008,London / Queen's Club,False,Great Britain,Outdoor,Grass,F,N409,Rafael Nadal
2008,Roland Garros,False,France,Outdoor,Clay,SF,N409,Rafael Nadal
2008,ATP Masters 1000 Hamburg,False,Germany,Outdoor,Clay,SF,N409,Rafael Nadal
2008,ATP Masters 1000 Indian Wells,True,"CA, U.S.A.",Outdoor,Hard,SF,N409,Rafael Nadal
2007,Tennis Masters Cup,False,China,Indoor,Hard,RR,N409,Rafael Nadal
2007,ATP Masters 1000 Canada,True,Canada,Outdoor,Hard,SF,N409,Rafael Nadal
2007,Wimbledon,False,Great Britain,Outdoor,Grass,SF,N409,Rafael Nadal
2007,Roland Garros,False,France,Outdoor,Clay,SF,N409,Rafael Nadal
2007,ATP Masters 1000 Rome,False,Italy,Outdoor,Clay,QF,N409,Rafael Nadal
2007,ATP Masters 1000 Miami,True,"FL, U.S.A.",Outdoor,Hard,QF,N409,Rafael Nadal
2007,ATP Masters 1000 Indian Wells,False,"CA, U.S.A.",Outdoor,Hard,F,N409,Rafael Nadal
2006,Roland Garros,False,France,Outdoor,Clay,QF,N409,Rafael Nadal
2015,Wimbledon,True,Great Britain,Outdoor,Grass,R64,N289,Jarkko Nieminen
2015,Roland Garros,True,France,Outdoor,Clay,R128,N289,Jarkko Nieminen
2013,ATP Masters 1000 Monte Carlo,True,Monaco,Outdoor,Clay,QF,N289,Jarkko Nieminen
2010,Basel,True,Switzerland,Indoor,Hard,R16,N289,Jarkko Nieminen
2009,Sydney,False,Australia,Outdoor,Hard,SF,N289,Jarkko Nieminen
2007,ATP Masters 1000 Hamburg,True,Germany,Outdoor,Clay,R16,N289,Jarkko Nieminen
2006,ATP Masters 1000 Cincinnati,True,"OH, U.S.A.",Outdoor,Hard,R64,N289,Jarkko Nieminen
2021,US Open,True,"NY, U.S.A.",Outdoor,Hard,R32,N552,Kei Nishikori
2021,Tokyo Olympics,True,Japan,Outdoor,Hard,QF,N552,Kei Nishikori
2019,Australian Open,True,Australia,Outdoor,Hard,QF,N552,Kei Nishikori
2018,US Open,True,"NY, U.S.A.",Outdoor,Hard,SF,N552,Kei Nishikori
2018,Wimbledon,True,Great Britain,Outdoor,Grass,QF,N552,Kei Nishikori
2018,ATP Masters 1000 Rome,True,Italy,Outdoor,Clay,QF,N552,Kei Nishikori
2018,ATP Masters 1000 Madrid,True,Spain,Outdoor,Clay,R64,N552,Kei Nishikori
2017,ATP Masters 1000 Madrid,True,Spain,Outdoor,Clay,QF,N552,Kei Nishikori
2016,ATP Finals,True,Great Britain,Indoor,Hard,SF,N552,Kei Nishikori
2016,ATP Masters 1000 Canada,True,Canada,Outdoor,Hard,F,N552,Kei Nishikori
2016,ATP Masters 1000 Rome,True,Italy,Outdoor,Clay,SF,N552,Kei Nishikori
2016,ATP Masters 1000 Madrid,True,Spain,Outdoor,Clay,SF,N552,Kei Nishikori
2016,ATP Masters 1000 Miami,True,"FL, U.S.A.",Outdoor,Hard,F,N552,Kei Nishikori
2016,Australian Open,True,Australia,Outdoor,Hard,QF,N552,Kei Nishikori
2015,ATP Finals,True,Great Britain,Indoor,Hard,RR,N552,Kei Nishikori
2015,ATP Masters 1000 Rome,True,Italy,Outdoor,Clay,QF,N552,Kei Nishikori
2014,ATP Finals,True,Great Britain,Indoor,Hard,SF,N552,Kei Nishikori
2014,ATP Masters 1000 Paris,True,France,Indoor,Hard,SF,N552,Kei Nishikori
2014,US Open,False,"NY, U.S.A.",Outdoor,Hard,SF,N552,Kei Nishikori
2014,ATP Masters 1000 Miami,True,"FL, U.S.A.",Outdoor,Hard,SF,N552,Kei Nishikori
2011,Basel,False,Switzerland,Indoor,Hard,SF,N552,Kei Nishikori
2010,Roland Garros,True,France,Outdoor,Clay,R64,N552,Kei Nishikori
2022,Wimbledon,True,Great Britain,Outdoor,Grass,SF,N771,Cameron Norrie
2021,Nitto ATP Finals,True,Italy,Indoor,Hard,RR,N771,Cameron Norrie
2019,Davis Cup Finals,True,Spain,Indoor,Hard,RR,PD31,Benoit Paire
2018,ATP Masters 1000 Miami,False,"FL, U.S.A.",Outdoor,Hard,R64,PD31,Benoit Paire
2015,ATP Masters 1000 Cincinnati,True,"OH, U.S.A.",Outdoor,Hard,R32,PD31,Benoit Paire
2018,ATP Masters 1000 Canada,True,Canada,Outdoor,Hard,R32,PB22,Peter Polansky
2009,ATP Masters 1000 Canada,True,Canada,Outdoor,Hard,R32,PB22,Peter Polansky
2017,Eastbourne,True,Great Britain,Outdoor,Grass,R16,PD07,Vasek Pospisil
2016,ATP Masters 1000 Shanghai,True,China,Outdoor,Hard,R16,PD07,Vasek Pospisil
2015,Dubai,True,U.A.E.,Outdoor,Hard,R32,PD07,Vasek Pospisil
2014,Beijing,True,China,Outdoor,Hard,R16,PD07,Vasek Pospisil
2013,SRB vs.CAN WG SF,True,Serbia,Indoor,Clay,RR,PD07,Vasek Pospisil
2021,Nitto ATP Finals,False,Italy,Indoor,Hard,SF,Z355,Alexander Zverev
2021,US Open,True,"NY, U.S.A.",Outdoor,Hard,SF,Z355,Alexander Zverev
2021,Tokyo Olympics,False,Japan,Outdoor,Hard,SF,Z355,Alexander Zverev
2021,ATP Cup,True,Australia,Outdoor,Hard,RR,Z355,Alexander Zverev
2021,Australian Open,True,Australia,Outdoor,Hard,QF,Z355,Alexander Zverev
2020,Nitto ATP Finals,True,Great Britain,Indoor,Hard,RR,Z355,Alexander Zverev
2019,Roland Garros,True,France,Outdoor,Clay,QF,Z355,Alexander Zverev
2018,Nitto ATP Finals,False,Great Britain,Indoor,Hard,F,Z355,Alexander Zverev
2018,Nitto ATP Finals,True,Great Britain,Indoor,Hard,RR,Z355,Alexander Zverev
2018,ATP Masters 1000 Shanghai,True,China,Outdoor,Hard,SF,Z355,Alexander Zverev
2017,ATP Masters 1000 Rome,False,Italy,Outdoor,Clay,F,Z355,Alexander Zverev
