,Unnamed: 0,Year,tourney_id,tourney_name,Hard,Clay,Carpet,Grass,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,Target
14,14,2005,2005-520,Roland Garros,0.0,1.0,0.0,0.0,128,G,20050523,81,103909,Guillermo Coria,1.0,175.0,ARG,23.3,104925,Novak Djokovic,0.0,188.0,SRB,18.0,4-6 6-2 3-2 RET,5,R64,114.0,0.0,7.0,84.0,59.0,37.0,10.0,11.0,8.0,12.0,3.0,3.0,80.0,42.0,23.0,17.0,12.0,5.0,11.0,9.0,2040.0,153.0,287.0,False
15,15,2005,2005-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20050620,54,104925,Novak Djokovic,1.0,188.0,SRB,18.0,104338,Juan Monaco,0.0,185.0,ARG,21.2,6-3 7-6(5) 6-3,5,R128,113.0,2.0,5.0,94.0,65.0,53.0,16.0,16.0,2.0,3.0,4.0,5.0,97.0,63.0,44.0,18.0,14.0,7.0,10.0,128.0,337.0,68.0,577.0,True
16,16,2005,2005-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20050620,91,104925,Novak Djokovic,1.0,188.0,SRB,18.0,104198,Guillermo Garcia Lopez,0.0,188.0,ESP,22.0,3-6 3-6 7-6(5) 7-6(3) 6-4,5,R64,248.0,8.0,4.0,173.0,105.0,75.0,31.0,26.0,9.0,18.0,6.0,5.0,182.0,108.0,76.0,33.0,26.0,10.0,17.0,128.0,337.0,81.0,513.0,True
17,17,2005,2005-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20050620,110,103206,Sebastien Grosjean,1.0,175.0,FRA,27.0,104925,Novak Djokovic,0.0,188.0,SRB,18.0,7-5 6-4 5-7 6-4,5,R32,171.0,7.0,3.0,140.0,79.0,60.0,35.0,22.0,3.0,4.0,6.0,4.0,126.0,88.0,66.0,21.0,22.0,6.0,9.0,27.0,1215.0,128.0,337.0,False
18,18,2005,2005-560,US Open,0.0,0.0,0.0,1.0,128,G,20050829,27,104925,Novak Djokovic,1.0,188.0,SRB,18.2,104792,Gael Monfils,0.0,193.0,FRA,18.9,7-5 4-6 7-6(5) 0-6 7-5,5,R128,237.0,3.0,5.0,179.0,119.0,81.0,29.0,26.0,12.0,16.0,22.0,5.0,147.0,78.0,67.0,39.0,26.0,1.0,3.0,97.0,431.0,43.0,825.0,True
19,19,2005,2005-560,US Open,0.0,0.0,0.0,1.0,128,G,20050829,78,104925,Novak Djokovic,1.0,188.0,SRB,18.2,104339,Mario Ancic,0.0,196.0,CRO,21.4,6-3 5-7 7-6(4) 6-3,5,R64,207.0,6.0,4.0,138.0,85.0,64.0,26.0,22.0,3.0,7.0,8.0,3.0,133.0,88.0,64.0,20.0,20.0,8.0,13.0,97.0,431.0,24.0,1230.0,True
20,20,2005,2005-560,US Open,0.0,0.0,0.0,1.0,128,G,20050829,103,104269,Fernando Verdasco,0.0,188.0,ESP,21.7,104925,Novak Djokovic,0.0,188.0,SRB,18.2,6-1 4-6 6-7(2) 6-4 6-4,5,R32,184.0,13.0,13.0,148.0,90.0,69.0,29.0,24.0,7.0,11.0,5.0,3.0,154.0,106.0,66.0,26.0,25.0,6.0,14.0,48.0,770.0,97.0,431.0,False
21,21,2005,2005-573,Valencia,0.0,1.0,0.0,0.0,32,A,20050404,14,102179,Antony Dupuis,1.0,185.0,FRA,32.1,104925,Novak Djokovic,0.0,188.0,SRB,17.8,6-4 7-5,3,R32,96.0,2.0,1.0,68.0,34.0,23.0,18.0,11.0,5.0,8.0,2.0,4.0,69.0,41.0,29.0,7.0,11.0,5.0,10.0,114.0,368.0,160.0,282.0,False
22,22,2005,2005-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20050117,17,103498,Marat Safin,1.0,193.0,RUS,24.9,104925,Novak Djokovic,0.0,188.0,SRB,17.6,6-0 6-2 6-1,5,R128,74.0,1.0,1.0,51.0,27.0,25.0,13.0,10.0,0.0,1.0,1.0,5.0,66.0,39.0,16.0,5.0,11.0,4.0,13.0,4.0,3060.0,188.0,229.0,False
27,27,2006,2006-1536,Madrid Masters,0.0,0.0,0.0,1.0,48,M,20061016,27,104925,Novak Djokovic,1.0,188.0,SRB,19.4,104755,Richard Gasquet,0.0,185.0,FRA,20.3,7-6(2) 1-6 6-1,3,R32,98.0,9.0,3.0,72.0,47.0,38.0,13.0,13.0,3.0,6.0,5.0,3.0,82.0,51.0,37.0,15.0,13.0,2.0,5.0,17.0,1360.0,27.0,1045.0,True
