,Unnamed: 0,Year,tourney_id,tourney_name,Hard,Clay,Carpet,Grass,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,Target
324,324,2009,2009-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20090622,48,104925,Novak Djokovic,1.0,188.0,SRB,22.0,103898,Julien Benneteau,0.0,185.0,FRA,27.5,6-7(8) 7-6(1) 6-2 6-4,5,R128,209.0,14.0,4.0,128.0,87.0,72.0,20.0,21.0,3.0,4.0,3.0,4.0,152.0,104.0,71.0,24.0,21.0,8.0,12.0,4.0,7860.0,81.0,845.0,True
325,325,2009,2009-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20090622,88,104925,Novak Djokovic,1.0,188.0,SRB,22.0,103752,Simon Greul,0.0,185.0,GER,28.1,7-5 6-1 6-4,5,R64,120.0,13.0,6.0,97.0,63.0,40.0,18.0,15.0,6.0,10.0,0.0,2.0,87.0,53.0,26.0,16.0,14.0,7.0,15.0,4.0,7860.0,106.0,692.0,True
326,326,2009,2009-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20090622,108,104925,Novak Djokovic,1.0,188.0,SRB,22.0,103888,Mardy Fish,0.0,188.0,USA,27.5,6-4 6-4 6-4,5,R32,119.0,8.0,1.0,81.0,51.0,38.0,23.0,15.0,0.0,1.0,6.0,1.0,96.0,56.0,42.0,16.0,15.0,8.0,12.0,4.0,7860.0,25.0,1735.0,True
327,327,2009,2009-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20090622,118,104925,Novak Djokovic,1.0,188.0,SRB,22.0,104534,Dudi Sela,0.0,175.0,ISR,24.2,6-2 6-4 6-1,5,R16,90.0,11.0,4.0,72.0,46.0,37.0,12.0,13.0,4.0,6.0,1.0,2.0,71.0,46.0,26.0,10.0,12.0,7.0,14.0,4.0,7860.0,46.0,1162.0,True
328,328,2009,2009-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20090622,123,103163,Tommy Haas,1.0,188.0,GER,31.2,104925,Novak Djokovic,0.0,188.0,SRB,22.0,7-5 7-6(6) 4-6 6-3,5,QF,165.0,18.0,7.0,124.0,77.0,62.0,28.0,22.0,0.0,2.0,13.0,4.0,124.0,73.0,58.0,28.0,21.0,2.0,5.0,34.0,1405.0,4.0,7860.0,False
329,329,2009,2009-560,US Open,0.0,0.0,0.0,1.0,128,G,20090831,17,104925,Novak Djokovic,1.0,188.0,SRB,22.2,103344,Ivan Ljubicic,0.0,193.0,CRO,30.4,6-3 6-1 6-3,5,R128,97.0,9.0,0.0,66.0,52.0,43.0,9.0,13.0,0.0,0.0,10.0,4.0,78.0,39.0,23.0,17.0,12.0,5.0,10.0,4.0,7660.0,51.0,976.0,True
330,330,2009,2009-560,US Open,0.0,0.0,0.0,1.0,128,G,20090831,73,104925,Novak Djokovic,1.0,188.0,SRB,22.2,104958,Carsten Ball,1.0,198.0,AUS,22.1,6-3 6-4 6-4,5,R64,109.0,3.0,0.0,75.0,46.0,35.0,23.0,15.0,1.0,2.0,8.0,7.0,93.0,53.0,37.0,18.0,14.0,14.0,18.0,4.0,7660.0,155.0,402.0,True
331,331,2009,2009-560,US Open,0.0,0.0,0.0,1.0,128,G,20090831,101,104925,Novak Djokovic,1.0,188.0,SRB,22.2,104070,Jesse Witten,0.0,178.0,USA,26.8,6-7(2) 6-3 7-6(2) 6-4,5,R32,208.0,8.0,8.0,136.0,83.0,58.0,24.0,21.0,5.0,11.0,5.0,11.0,142.0,66.0,39.0,40.0,22.0,9.0,18.0,4.0,7660.0,276.0,197.0,True
332,332,2009,2009-560,US Open,0.0,0.0,0.0,1.0,128,G,20090831,115,104925,Novak Djokovic,1.0,188.0,SRB,22.2,103285,Radek Stepanek,0.0,185.0,CZE,30.7,6-1 6-3 6-3,5,R16,106.0,5.0,3.0,74.0,46.0,35.0,16.0,13.0,2.0,3.0,4.0,1.0,80.0,49.0,26.0,14.0,12.0,7.0,13.0,4.0,7660.0,16.0,2000.0,True
333,333,2009,2009-560,US Open,0.0,0.0,0.0,1.0,128,G,20090831,122,104925,Novak Djokovic,1.0,188.0,SRB,22.2,104269,Fernando Verdasco,1.0,188.0,ESP,25.7,7-6(2) 1-6 7-5 6-2,5,QF,185.0,9.0,4.0,138.0,93.0,66.0,23.0,20.0,10.0,14.0,5.0,8.0,122.0,68.0,47.0,26.0,19.0,8.0,12.0,4.0,7660.0,10.0,3220.0,True
334,334,2009,2009-560,US Open,0.0,0.0,0.0,1.0,128,G,20090831,125,103819,Roger Federer,1.0,185.0,SUI,28.0,104925,Novak Djokovic,0.0,188.0,SRB,22.2,7-6(3) 7-5 7-5,5,SF,154.0,8.0,3.0,109.0,63.0,49.0,28.0,18.0,2.0,3.0,6.0,4.0,115.0,78.0,53.0,20.0,18.0,7.0,10.0,1.0,12040.0,4.0,7660.0,False
335,335,2009,2009-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20090119,48,104925,Novak Djokovic,1.0,188.0,SRB,21.6,103521,Andrea Stoppini,0.0,190.0,ITA,28.8,6-2 6-3 7-5,5,R128,115.0,8.0,1.0,74.0,51.0,34.0,14.0,14.0,3.0,6.0,6.0,6.0,110.0,59.0,33.0,21.0,15.0,11.0,19.0,3.0,10650.0,220.0,354.0,True
336,336,2009,2009-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20090119,88,104925,Novak Djokovic,1.0,188.0,SRB,21.6,104871,Jeremy Chardy,0.0,188.0,FRA,21.9,7-5 6-1 6-3,5,R64,102.0,7.0,1.0,75.0,54.0,41.0,14.0,14.0,1.0,2.0,3.0,0.0,75.0,52.0,30.0,11.0,14.0,0.0,6.0,3.0,10650.0,68.0,1163.0,True
337,337,2009,2009-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20090119,108,104925,Novak Djokovic,1.0,188.0,SRB,21.6,104025,Amer Delic,0.0,196.0,BIH,26.5,6-2 4-6 6-3 7-6(4),5,R32,183.0,11.0,4.0,131.0,84.0,67.0,24.0,20.0,8.0,9.0,16.0,6.0,131.0,77.0,59.0,24.0,19.0,5.0,8.0,3.0,10650.0,127.0,728.0,True
338,338,2009,2009-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20090119,118,104925,Novak Djokovic,1.0,188.0,SRB,21.6,104571,Marcos Baghdatis,0.0,183.0,CYP,23.5,6-1 7-6(1) 6-7(5) 6-2,5,R16,193.0,3.0,3.0,129.0,81.0,60.0,27.0,20.0,4.0,5.0,12.0,2.0,136.0,74.0,48.0,28.0,19.0,12.0,17.0,3.0,10650.0,97.0,950.0,True
339,339,2009,2009-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20090119,123,104053,Andy Roddick,1.0,188.0,USA,26.3,104925,Novak Djokovic,0.0,188.0,SRB,21.6,6-7(3) 6-4 6-2 2-1 RET,5,QF,150.0,16.0,5.0,87.0,62.0,54.0,11.0,16.0,0.0,1.0,8.0,5.0,115.0,72.0,46.0,20.0,17.0,7.0,12.0,9.0,3940.0,3.0,10650.0,False
340,340,2009,2009-605,Tour Finals,0.0,0.0,0.0,1.0,8,F,20091122,11,104417,Robin Soderling,1.0,193.0,SWE,25.2,104925,Novak Djokovic,0.0,188.0,SRB,22.5,7-6(5) 6-1,3,RR,98.0,10.0,0.0,60.0,40.0,32.0,12.0,9.0,2.0,2.0,2.0,1.0,71.0,41.0,25.0,16.0,10.0,5.0,8.0,9.0,3010.0,3.0,7910.0,False
341,341,2009,2009-605,Tour Finals,0.0,0.0,0.0,1.0,8,F,20091122,13,104925,Novak Djokovic,1.0,188.0,SRB,22.5,103786,Nikolay Davydenko,0.0,178.0,RUS,28.4,3-6 6-4 7-5,3,RR,167.0,2.0,4.0,100.0,63.0,42.0,20.0,16.0,5.0,8.0,8.0,2.0,100.0,53.0,38.0,22.0,15.0,4.0,7.0,3.0,7910.0,7.0,3630.0,True
342,342,2009,2009-605,Tour Finals,0.0,0.0,0.0,1.0,8,F,20091122,14,104925,Novak Djokovic,1.0,188.0,SRB,22.5,104745,Rafael Nadal,1.0,185.0,ESP,23.4,7-6(5) 6-3,3,RR,118.0,2.0,3.0,73.0,37.0,29.0,19.0,11.0,4.0,6.0,4.0,1.0,71.0,55.0,33.0,8.0,10.0,2.0,5.0,3.0,7910.0,2.0,9205.0,True
343,343,2009,2009-747,Beijing,0.0,0.0,0.0,1.0,32,A,20091005,16,104925,Novak Djokovic,1.0,188.0,SRB,22.3,103812,Victor Hanescu,0.0,198.0,ROU,28.2,6-3 7-5,3,R32,89.0,10.0,3.0,62.0,42.0,29.0,10.0,11.0,4.0,7.0,0.0,6.0,58.0,33.0,20.0,8.0,10.0,4.0,9.0,4.0,7330.0,27.0,1286.0,True
344,344,2009,2009-747,Beijing,0.0,0.0,0.0,1.0,32,A,20091005,24,104925,Novak Djokovic,1.0,188.0,SRB,22.3,104678,Viktor Troicki,0.0,193.0,SRB,23.6,6-3 6-0,3,R16,61.0,1.0,1.0,47.0,23.0,16.0,18.0,8.0,0.0,0.0,3.0,1.0,41.0,22.0,14.0,5.0,7.0,3.0,7.0,4.0,7330.0,28.0,1245.0,True
345,345,2009,2009-747,Beijing,0.0,0.0,0.0,1.0,32,A,20091005,28,104925,Novak Djokovic,1.0,188.0,SRB,22.3,104269,Fernando Verdasco,1.0,188.0,ESP,25.8,6-3 1-6 6-1,3,QF,105.0,3.0,5.0,80.0,51.0,33.0,14.0,12.0,4.0,7.0,6.0,3.0,85.0,56.0,35.0,12.0,11.0,7.0,11.0,4.0,7330.0,9.0,3460.0,True
346,346,2009,2009-747,Beijing,0.0,0.0,0.0,1.0,32,A,20091005,30,104925,Novak Djokovic,1.0,188.0,SRB,22.3,104417,Robin Soderling,0.0,193.0,SWE,25.1,6-3 6-3,3,SF,81.0,6.0,2.0,50.0,30.0,24.0,12.0,9.0,1.0,2.0,4.0,4.0,66.0,36.0,23.0,12.0,9.0,8.0,12.0,4.0,7330.0,11.0,3020.0,True
347,347,2009,2009-747,Beijing,0.0,0.0,0.0,1.0,32,A,20091005,31,104925,Novak Djokovic,1.0,188.0,SRB,22.3,105227,Marin Cilic,0.0,198.0,CRO,21.0,6-2 7-6(4),3,F,114.0,2.0,1.0,74.0,50.0,33.0,11.0,10.0,8.0,11.0,1.0,1.0,66.0,41.0,25.0,9.0,10.0,4.0,9.0,4.0,7330.0,15.0,2195.0,True
350,350,2010,2010-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20100118,17,104925,Novak Djokovic,1.0,188.0,SRB,22.6,104593,Daniel Gimeno Traver,0.0,185.0,ESP,24.4,7-5 6-3 6-2,5,R128,121.0,4.0,5.0,90.0,61.0,47.0,16.0,15.0,5.0,6.0,5.0,5.0,91.0,54.0,39.0,12.0,14.0,9.0,14.0,3.0,8310.0,74.0,613.0,True
351,351,2010,2010-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20100118,73,104925,Novak Djokovic,1.0,188.0,SRB,22.6,103843,Marco Chiudinelli,0.0,185.0,SUI,28.3,3-6 6-1 6-1 6-3,5,R64,178.0,12.0,9.0,125.0,79.0,59.0,15.0,16.0,14.0,17.0,3.0,3.0,102.0,57.0,33.0,19.0,16.0,10.0,18.0,3.0,8310.0,58.0,775.0,True
352,352,2010,2010-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20100118,101,104925,Novak Djokovic,1.0,188.0,SRB,22.6,104797,Denis Istomin,0.0,188.0,UZB,23.3,6-1 6-1 6-2,5,R32,97.0,3.0,7.0,78.0,47.0,34.0,14.0,11.0,7.0,9.0,3.0,0.0,60.0,33.0,13.0,7.0,11.0,5.0,14.0,3.0,8310.0,103.0,515.0,True
353,353,2010,2010-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20100118,115,104925,Novak Djokovic,1.0,188.0,SRB,22.6,103997,Lukasz Kubot,0.0,190.0,POL,27.6,6-1 6-2 7-5,5,R16,115.0,10.0,1.0,74.0,51.0,41.0,16.0,14.0,1.0,2.0,4.0,4.0,76.0,46.0,31.0,10.0,13.0,3.0,9.0,3.0,8310.0,86.0,573.0,True
354,354,2010,2010-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20100118,122,104542,Jo-Wilfried Tsonga,1.0,188.0,FRA,24.7,104925,Novak Djokovic,0.0,188.0,SRB,22.6,7-6(8) 6-7(5) 1-6 6-3 6-1,5,QF,232.0,19.0,2.0,168.0,109.0,74.0,28.0,23.0,10.0,16.0,2.0,9.0,145.0,100.0,67.0,22.0,24.0,4.0,11.0,10.0,2875.0,3.0,8310.0,False
355,355,2010,2010-407,Rotterdam,0.0,0.0,0.0,1.0,32,A,20100208,1,104925,Novak Djokovic,1.0,188.0,SRB,22.7,104660,Sergiy Stakhovsky,0.0,193.0,UKR,24.0,6-2 4-1 RET,3,R32,54.0,2.0,1.0,31.0,17.0,15.0,10.0,6.0,1.0,1.0,3.0,0.0,52.0,35.0,20.0,6.0,7.0,7.0,11.0,2.0,8310.0,69.0,663.0,True
356,356,2010,2010-407,Rotterdam,0.0,0.0,0.0,1.0,32,A,20100208,17,104925,Novak Djokovic,1.0,188.0,SRB,22.7,103843,Marco Chiudinelli,0.0,185.0,SUI,28.4,6-4 6-2,3,R16,91.0,2.0,3.0,46.0,28.0,24.0,12.0,9.0,0.0,0.0,4.0,0.0,82.0,46.0,28.0,16.0,9.0,11.0,14.0,2.0,8310.0,54.0,781.0,True
358,358,2010,2010-407,Rotterdam,0.0,0.0,0.0,1.0,32,A,20100208,29,104022,Mikhail Youzhny,1.0,183.0,RUS,27.6,104925,Novak Djokovic,0.0,188.0,SRB,22.7,7-6(5) 7-6(6),3,SF,137.0,4.0,3.0,89.0,54.0,40.0,19.0,12.0,3.0,5.0,4.0,2.0,77.0,44.0,35.0,17.0,12.0,1.0,3.0,20.0,1770.0,2.0,8310.0,False
359,359,2010,2010-495,Dubai,0.0,0.0,0.0,1.0,32,A,20100222,16,104925,Novak Djokovic,1.0,188.0,SRB,22.7,104198,Guillermo Garcia Lopez,0.0,188.0,ESP,26.7,6-4 6-4,3,R32,98.0,2.0,3.0,67.0,45.0,28.0,12.0,10.0,3.0,6.0,2.0,4.0,58.0,29.0,18.0,12.0,10.0,5.0,10.0,2.0,8310.0,47.0,894.0,True
360,360,2010,2010-495,Dubai,0.0,0.0,0.0,1.0,32,A,20100222,24,104925,Novak Djokovic,1.0,188.0,SRB,22.7,104678,Viktor Troicki,0.0,193.0,SRB,24.0,3-6 6-4 6-2,3,R16,125.0,2.0,5.0,79.0,43.0,30.0,22.0,14.0,3.0,5.0,10.0,2.0,93.0,46.0,28.0,29.0,13.0,7.0,10.0,2.0,8310.0,35.0,1110.0,True
361,361,2010,2010-495,Dubai,0.0,0.0,0.0,1.0,32,A,20100222,28,104925,Novak Djokovic,1.0,188.0,SRB,22.7,103344,Ivan Ljubicic,0.0,193.0,CRO,30.9,2-6 6-4 6-0,3,QF,109.0,3.0,4.0,77.0,44.0,32.0,17.0,12.0,3.0,5.0,14.0,2.0,67.0,41.0,28.0,13.0,12.0,4.0,8.0,2.0,8310.0,26.0,1450.0,True
362,362,2010,2010-495,Dubai,0.0,0.0,0.0,1.0,32,A,20100222,30,104925,Novak Djokovic,1.0,188.0,SRB,22.7,104571,Marcos Baghdatis,0.0,183.0,CYP,24.6,6-7(2) 6-3 6-4,3,SF,176.0,5.0,10.0,110.0,66.0,46.0,19.0,16.0,13.0,16.0,7.0,1.0,92.0,48.0,33.0,24.0,15.0,5.0,10.0,2.0,8310.0,37.0,1100.0,True
363,363,2010,2010-495,Dubai,0.0,0.0,0.0,1.0,32,A,20100222,31,104925,Novak Djokovic,1.0,188.0,SRB,22.7,104022,Mikhail Youzhny,0.0,183.0,RUS,27.6,7-5 5-7 6-3,3,F,202.0,5.0,12.0,107.0,56.0,40.0,21.0,17.0,6.0,12.0,1.0,2.0,108.0,72.0,39.0,17.0,16.0,4.0,11.0,2.0,8310.0,15.0,1975.0,True
366,366,2010,2010-404,Indian Wells Masters,0.0,0.0,0.0,1.0,96,M,20100311,64,104925,Novak Djokovic,1.0,188.0,SRB,22.7,103888,Mardy Fish,0.0,188.0,USA,28.2,6-1 0-6 6-2,3,R64,102.0,2.0,9.0,80.0,45.0,30.0,17.0,11.0,6.0,9.0,7.0,3.0,64.0,33.0,22.0,14.0,10.0,8.0,12.0,2.0,8310.0,106.0,490.0,True
367,367,2010,2010-404,Indian Wells Masters,0.0,0.0,0.0,1.0,96,M,20100311,80,104925,Novak Djokovic,1.0,188.0,SRB,22.7,104259,Philipp Kohlschreiber,0.0,178.0,GER,26.3,6-3 2-6 7-6(3),3,R32,156.0,2.0,5.0,108.0,60.0,40.0,24.0,15.0,9.0,14.0,4.0,3.0,85.0,45.0,31.0,19.0,14.0,0.0,4.0,2.0,8310.0,31.0,1275.0,True
368,368,2010,2010-404,Indian Wells Masters,0.0,0.0,0.0,1.0,96,M,20100311,88,103344,Ivan Ljubicic,1.0,193.0,CRO,30.9,104925,Novak Djokovic,0.0,188.0,SRB,22.7,7-5 6-3,3,R16,105.0,13.0,0.0,73.0,45.0,33.0,16.0,11.0,6.0,7.0,5.0,4.0,70.0,43.0,25.0,16.0,10.0,2.0,5.0,26.0,1520.0,2.0,8310.0,False
369,369,2010,2010-403,Miami Masters,0.0,0.0,0.0,1.0,96,M,20100324,64,103694,Olivier Rochus,1.0,168.0,BEL,29.1,104925,Novak Djokovic,0.0,188.0,SRB,22.8,6-2 6-7(7) 6-4,3,R64,175.0,1.0,4.0,107.0,63.0,41.0,26.0,15.0,10.0,13.0,6.0,11.0,114.0,70.0,48.0,13.0,15.0,9.0,15.0,59.0,754.0,2.0,8220.0,False
370,370,2010,2010-410,Monte Carlo Masters,0.0,1.0,0.0,0.0,56,M,20100411,25,104925,Novak Djokovic,1.0,188.0,SRB,22.8,103722,Florent Serra,0.0,180.0,FRA,29.1,6-2 6-3,3,R32,83.0,2.0,4.0,68.0,42.0,25.0,15.0,9.0,7.0,9.0,2.0,5.0,61.0,31.0,17.0,10.0,8.0,6.0,11.0,2.0,7630.0,67.0,710.0,True
371,371,2010,2010-410,Monte Carlo Masters,0.0,1.0,0.0,0.0,56,M,20100411,41,104925,Novak Djokovic,1.0,188.0,SRB,22.8,104527,Stan Wawrinka,0.0,183.0,SUI,25.0,6-4 6-4,3,R16,101.0,2.0,1.0,61.0,43.0,28.0,10.0,10.0,3.0,5.0,4.0,1.0,66.0,39.0,23.0,14.0,10.0,6.0,10.0,2.0,7630.0,20.0,1780.0,True
372,372,2010,2010-410,Monte Carlo Masters,0.0,1.0,0.0,0.0,56,M,20100411,49,104925,Novak Djokovic,1.0,188.0,SRB,22.8,103900,David Nalbandian,0.0,180.0,ARG,28.2,6-2 6-3,3,QF,80.0,2.0,0.0,50.0,29.0,20.0,13.0,8.0,2.0,3.0,2.0,3.0,52.0,28.0,13.0,9.0,9.0,3.0,8.0,2.0,7630.0,151.0,335.0,True
373,373,2010,2010-410,Monte Carlo Masters,0.0,1.0,0.0,0.0,56,M,20100411,53,104269,Fernando Verdasco,0.0,188.0,ESP,26.4,104925,Novak Djokovic,0.0,188.0,SRB,22.8,6-2 6-2,3,SF,92.0,4.0,1.0,45.0,35.0,25.0,5.0,8.0,2.0,3.0,0.0,5.0,66.0,40.0,21.0,8.0,8.0,7.0,12.0,12.0,2725.0,2.0,7630.0,False
374,374,2010,2010-416,Rome Masters,0.0,1.0,0.0,0.0,56,M,20100425,40,104925,Novak Djokovic,1.0,188.0,SRB,22.9,104871,Jeremy Chardy,0.0,188.0,FRA,23.2,6-1 6-1,3,R32,60.0,1.0,2.0,39.0,27.0,22.0,7.0,7.0,0.0,0.0,5.0,2.0,52.0,29.0,19.0,4.0,7.0,2.0,7.0,2.0,7390.0,46.0,920.0,True
375,375,2010,2010-416,Rome Masters,0.0,1.0,0.0,0.0,56,M,20100425,48,104925,Novak Djokovic,1.0,188.0,SRB,22.9,105064,Thomaz Bellucci,1.0,188.0,BRA,22.3,6-4 6-4,3,R16,87.0,1.0,3.0,49.0,28.0,22.0,12.0,10.0,1.0,3.0,5.0,6.0,61.0,41.0,24.0,7.0,10.0,5.0,9.0,2.0,7390.0,28.0,1402.0,True
376,376,2010,2010-416,Rome Masters,0.0,1.0,0.0,0.0,56,M,20100425,52,104269,Fernando Verdasco,0.0,188.0,ESP,26.4,104925,Novak Djokovic,0.0,188.0,SRB,22.9,7-6(4) 3-6 6-4,3,QF,198.0,3.0,3.0,99.0,78.0,49.0,11.0,16.0,6.0,11.0,6.0,7.0,121.0,79.0,56.0,14.0,15.0,10.0,14.0,9.0,3555.0,2.0,7390.0,False
377,377,2010,2010-5053,Belgrade,0.0,1.0,0.0,0.0,28,A,20100503,13,104925,Novak Djokovic,1.0,188.0,SRB,22.9,104926,Fabio Fognini,0.0,178.0,ITA,22.9,6-4 6-4,3,R16,91.0,0.0,4.0,63.0,38.0,21.0,12.0,10.0,2.0,6.0,3.0,6.0,64.0,36.0,20.0,10.0,10.0,3.0,9.0,2.0,6970.0,80.0,630.0,True
378,378,2010,2010-5053,Belgrade,0.0,1.0,0.0,0.0,28,A,20100503,21,105936,Filip Krajinovic,1.0,185.0,SRB,18.1,104925,Novak Djokovic,0.0,188.0,SRB,22.9,6-4 RET,3,QF,40.0,1.0,2.0,26.0,14.0,9.0,8.0,5.0,0.0,1.0,0.0,1.0,43.0,27.0,15.0,8.0,5.0,7.0,9.0,319.0,132.0,2.0,6970.0,False
379,379,2010,2010-520,Roland Garros,0.0,1.0,0.0,0.0,128,G,20100524,48,104925,Novak Djokovic,1.0,188.0,SRB,23.0,105095,Evgeny Korolev,0.0,185.0,KAZ,22.2,6-1 3-6 6-1 6-3,5,R128,128.0,7.0,4.0,97.0,61.0,48.0,17.0,16.0,4.0,6.0,4.0,4.0,93.0,46.0,29.0,21.0,16.0,5.0,12.0,3.0,6405.0,73.0,655.0,True
380,380,2010,2010-520,Roland Garros,0.0,1.0,0.0,0.0,128,G,20100524,88,104925,Novak Djokovic,1.0,188.0,SRB,23.0,105453,Kei Nishikori,0.0,178.0,JPN,20.3,6-1 6-4 6-4,5,R64,160.0,3.0,9.0,117.0,74.0,53.0,15.0,14.0,7.0,9.0,1.0,1.0,95.0,57.0,32.0,17.0,13.0,8.0,14.0,3.0,6405.0,246.0,190.0,True
381,381,2010,2010-520,Roland Garros,0.0,1.0,0.0,0.0,128,G,20100524,108,104925,Novak Djokovic,1.0,188.0,SRB,23.0,103812,Victor Hanescu,0.0,198.0,ROU,28.8,6-3 3-6 6-3 6-2,5,R32,158.0,2.0,8.0,100.0,67.0,50.0,16.0,18.0,1.0,5.0,5.0,1.0,118.0,85.0,51.0,16.0,17.0,9.0,16.0,3.0,6405.0,37.0,1160.0,True
382,382,2010,2010-520,Roland Garros,0.0,1.0,0.0,0.0,128,G,20100524,118,104925,Novak Djokovic,1.0,188.0,SRB,23.0,104068,Robby Ginepri,0.0,183.0,USA,27.6,6-4 2-6 6-1 6-2,5,R16,137.0,2.0,2.0,109.0,76.0,52.0,18.0,17.0,6.0,8.0,3.0,0.0,87.0,64.0,44.0,10.0,16.0,4.0,9.0,3.0,6405.0,98.0,538.0,True
383,383,2010,2010-520,Roland Garros,0.0,1.0,0.0,0.0,128,G,20100524,123,103781,Jurgen Melzer,0.0,183.0,AUT,29.0,104925,Novak Djokovic,0.0,188.0,SRB,23.0,3-6 2-6 6-2 7-6(3) 6-4,5,QF,255.0,9.0,5.0,145.0,73.0,52.0,41.0,23.0,4.0,8.0,4.0,10.0,197.0,127.0,85.0,32.0,24.0,20.0,24.0,27.0,1495.0,3.0,6405.0,False
384,384,2010,2010-311,Queen's Club,0.0,0.0,1.0,0.0,56,A,20100607,40,104925,Novak Djokovic,1.0,188.0,SRB,23.0,103893,Paolo Lorenzi,0.0,183.0,ITA,28.4,6-3 6-3,3,R32,72.0,3.0,2.0,64.0,40.0,31.0,12.0,9.0,6.0,6.0,4.0,0.0,52.0,31.0,21.0,11.0,9.0,3.0,6.0,3.0,6675.0,96.0,560.0,True
385,385,2010,2010-311,Queen's Club,0.0,0.0,1.0,0.0,56,A,20100607,48,103598,Xavier Malisse,1.0,185.0,BEL,29.8,104925,Novak Djokovic,0.0,188.0,SRB,23.0,6-3 4-6 6-2,3,R16,102.0,5.0,3.0,72.0,47.0,40.0,11.0,13.0,4.0,5.0,4.0,5.0,92.0,68.0,44.0,10.0,14.0,5.0,9.0,74.0,649.0,3.0,6675.0,False
386,386,2010,2010-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20100621,17,104925,Novak Djokovic,1.0,188.0,SRB,23.0,103694,Olivier Rochus,0.0,168.0,BEL,29.4,4-6 6-2 3-6 6-4 6-2,5,R128,231.0,17.0,12.0,137.0,79.0,54.0,29.0,23.0,10.0,17.0,1.0,4.0,174.0,110.0,63.0,27.0,22.0,11.0,20.0,3.0,6545.0,68.0,730.0,True
387,387,2010,2010-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20100621,73,104925,Novak Djokovic,1.0,188.0,SRB,23.0,103758,Taylor Dent,0.0,188.0,USA,29.1,7-6(5) 6-1 6-4,5,R64,117.0,9.0,1.0,89.0,58.0,47.0,21.0,15.0,1.0,1.0,12.0,11.0,105.0,51.0,43.0,19.0,14.0,3.0,6.0,3.0,6545.0,97.0,551.0,True
388,388,2010,2010-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20100621,101,104925,Novak Djokovic,1.0,188.0,SRB,23.0,103656,Albert Montanes,0.0,175.0,ESP,29.5,6-1 6-4 6-4,5,R32,101.0,11.0,5.0,75.0,50.0,41.0,16.0,14.0,0.0,0.0,5.0,2.0,93.0,61.0,41.0,13.0,13.0,5.0,9.0,3.0,6545.0,31.0,1405.0,True
389,389,2010,2010-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20100621,115,104925,Novak Djokovic,1.0,188.0,SRB,23.0,103720,Lleyton Hewitt,0.0,180.0,AUS,29.3,7-5 6-4 3-6 6-4,5,R16,174.0,9.0,9.0,124.0,75.0,57.0,26.0,21.0,6.0,9.0,5.0,2.0,111.0,68.0,53.0,22.0,20.0,5.0,9.0,3.0,6545.0,26.0,1565.0,True
390,390,2010,2010-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20100621,122,104925,Novak Djokovic,1.0,188.0,SRB,23.0,104229,Yen Hsun Lu,0.0,180.0,TPE,26.8,6-3 6-2 6-2,5,QF,111.0,4.0,3.0,65.0,41.0,35.0,18.0,13.0,0.0,0.0,4.0,2.0,87.0,54.0,35.0,11.0,12.0,10.0,15.0,3.0,6545.0,82.0,626.0,True
391,391,2010,2010-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20100621,125,104607,Tomas Berdych,1.0,196.0,CZE,24.7,104925,Novak Djokovic,0.0,188.0,SRB,23.0,6-3 7-6(9) 6-3,5,SF,138.0,11.0,2.0,102.0,58.0,47.0,28.0,16.0,3.0,4.0,9.0,8.0,88.0,64.0,47.0,10.0,14.0,4.0,7.0,13.0,2825.0,3.0,6545.0,False
