,date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_seed,loser_entry,speed,outcome,winner_entry,Unnamed: 0,OpponentId
77,8/29/16,US Open,G,5,H,False,F,STAN WAWRINKA,3.0,Switzerland,SUI,3,28.0,2254,Novak Djokovic,Serbia,SRB,1.0,-28.0,2596,6-7(1) 6-4 7-5 6-3,1.0,,47.0,,,119,W367
78,5/24/15,Roland Garros,G,5,C,False,F,STAN WAWRINKA,8.0,Switzerland,SUI,9,28.0,2246,Novak Djokovic,Serbia,SRB,1.0,-28.0,2593,4-6 6-4 6-3 6-4,1.0,,46.0,,,119,W367
79,1/13/14,Australian Open,G,5,H,False,QF,STAN WAWRINKA,8.0,Switzerland,SUI,8,23.0,2225,Novak Djokovic,Serbia,SRB,2.0,-24.0,2541,2-6 6-4 6-2 3-6 9-7,2.0,,70.0,,,119,W367
80,10/9/06,Vienna,A,3,H,True,R16,STAN WAWRINKA,,Switzerland,SUI,44,12.0,1975,Novak Djokovic,Serbia,SRB,16.0,-11.0,2060,6-3 6-3,8.0,,59.0,,,119,W367
81,7/24/06,Umag,B,3,C,False,F,STAN WAWRINKA,,Switzerland,SUI,69,16.0,1930,Novak Djokovic,Serbia,SRB,28.0,-13.0,2038,6-6(1) RET,4.0,,26.0,RET,,119,W367
82,3/18/19,Miami Masters,M,3,H,False,R16,ROBERTO BAUTISTA AGUT,22.0,Spain,ESP,25,18.0,2104,Novak Djokovic,Serbia,SRB,1.0,-17.0,2408,1-6 7-5 6-3,1.0,,57.0,,,10,BD06
83,12/31/18,Doha,B,3,H,False,SF,ROBERTO BAUTISTA AGUT,7.0,Spain,ESP,24,17.0,2057,Novak Djokovic,Serbia,SRB,1.0,-16.0,2404,3-6 7-6(6) 6-4,1.0,,74.0,,,10,BD06
84,10/10/16,Shanghai Masters,M,3,H,False,SF,ROBERTO BAUTISTA AGUT,15.0,Spain,ESP,19,21.0,2118,Novak Djokovic,Serbia,SRB,1.0,-21.0,2569,6-4 6-4,1.0,,63.0,,,10,BD06
85,3/4/19,Indian Wells Masters,M,3,H,False,R32,PHILIPP KOHLSCHREIBER,,Germany,GER,39,20.0,1986,Novak Djokovic,Serbia,SRB,1.0,-18.0,2424,6-4 6-4,1.0,,45.0,,,67,K435
86,5/25/09,Roland Garros,G,5,C,False,R32,PHILIPP KOHLSCHREIBER,29.0,Germany,GER,31,22.0,2048,Novak Djokovic,Serbia,SRB,4.0,-21.0,2308,6-4 6-4 6-4,4.0,,51.0,,,67,K435
87,10/29/18,Paris Masters,M,3,H,True,F,KAREN KHACHANOV,,Russian Federation,RUS,18,22.0,2115,Novak Djokovic,Serbia,SRB,2.0,-21.0,2426,7-5 6-4,2.0,,75.0,,,64,KE29
88,6/18/18,Queen's Club,A,3,G,False,F,MARIN CILIC,1.0,Croatia,CRO,6,15.0,2182,Novak Djokovic,Serbia,SRB,22.0,-15.0,2317,5-7 7-6(4) 6-3,,WC,98.0,,,22,c977
89,10/31/16,Paris Masters,M,3,H,True,QF,MARIN CILIC,9.0,Croatia,CRO,10,18.0,2196,Novak Djokovic,Serbia,SRB,1.0,-19.0,2551,6-4 7-6(2),1.0,,77.0,,,22,c977
