date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_seed,loser_entry,speed,outcome,winner_entry
5/24/10,Roland Garros,G,5,C,FALSE,R64,Novak Djokovic,3,Serbia,SRB,3,2,2291,Kei Nishikori,Japan,JPN,246,-2,1861,6-1 6-4 6-4,,,45,,
5/24/10,Roland Garros,G,5,C,FALSE,R128,Novak Djokovic,3,Serbia,SRB,3,2,2289,Evgeny Korolev,Kazakhstan,KAZ,73,-3,1850,6-1 3-6 6-1 6-3,,,45,,
5/3/10,Belgrade,B,3,C,FALSE,QF,Filip Krajinovic,,Serbia,SRB,319,51,1685,Novak Djokovic,Serbia,SRB,2,-17,2306,6-4 RET,1,,33,RET,WC
5/3/10,Belgrade,B,3,C,FALSE,R16,Novak Djokovic,1,Serbia,SRB,2,1,2305,Fabio Fognini,Italy,ITA,80,-1,1782,6-4 6-4,,,33,,
4/25/10,Rome Masters,M,3,C,FALSE,QF,Fernando Verdasco,6,Spain,ESP,9,13,2204,Novak Djokovic,Serbia,SRB,2,-14,2319,7-6(4) 3-6 6-4,2,,42,,
4/25/10,Rome Masters,M,3,C,FALSE,R16,Novak Djokovic,2,Serbia,SRB,2,3,2316,Thomaz Bellucci,Brazil,BRA,28,-2,1972,6-4 6-4,,,42,,
4/25/10,Rome Masters,M,3,C,FALSE,R32,Novak Djokovic,2,Serbia,SRB,2,1,2315,Jeremy Chardy,France,FRA,46,-2,1920,6-1 6-1,,,42,,
4/11/10,Monte Carlo Masters,M,3,C,FALSE,SF,Fernando Verdasco,6,Spain,ESP,12,16,2153,Novak Djokovic,Serbia,SRB,2,-16,2331,6-2 6-2,1,,23,,
4/11/10,Monte Carlo Masters,M,3,C,FALSE,QF,Novak Djokovic,1,Serbia,SRB,2,5,2326,David Nalbandian,Argentina,ARG,151,-6,2133,6-2 6-3,,,23,,
4/11/10,Monte Carlo Masters,M,3,C,FALSE,R16,Novak Djokovic,1,Serbia,SRB,2,4,2322,Stan Wawrinka,Switzerland,SUI,20,-4,2076,6-4 6-4,13,,23,,
4/11/10,Monte Carlo Masters,M,3,C,FALSE,R32,Novak Djokovic,1,Serbia,SRB,2,2,2320,Florent Serra,France,FRA,67,-2,1942,6-2 6-3,,,23,,
3/24/10,Miami Masters,M,3,H,FALSE,R64,Olivier Rochus,,Belgium,BEL,59,24,1857,Novak Djokovic,Serbia,SRB,2,-17,2337,6-2 6-7(7) 6-4,2,,58,,
3/11/10,Indian Wells Masters,M,3,H,FALSE,R16,Ivan Ljubicic,20,Croatia,CRO,26,18,2023,Novak Djokovic,Serbia,SRB,2,-17,2354,7-5 6-3,2,,56,,
3/11/10,Indian Wells Masters,M,3,H,FALSE,R32,Novak Djokovic,2,Serbia,SRB,2,2,2352,Philipp Kohlschreiber,Germany,GER,31,-3,2004,6-3 2-6 7-6(3),25,,56,,
3/11/10,Indian Wells Masters,M,3,H,FALSE,R64,Novak Djokovic,2,Serbia,SRB,2,2,2350,Mardy Fish,United States,USA,106,-2,1953,6-1 0-6 6-2,,,56,,
3/5/10,Davis Cup WG,D,5,C,FALSE,R16,Novak Djokovic,,Serbia,SRB,2,2,2348,John Isner,United States,USA,20,-3,2010,7-5 3-6 6-3 6-7(6) 6-4,,,,,
3/5/10,Davis Cup WG,D,5,C,FALSE,R16,Novak Djokovic,,Serbia,SRB,2,3,2345,Sam Querrey,United States,USA,22,-3,2030,6-2 7-6(4) 2-6 6-3,,,,,
2/22/10,Dubai,A,3,H,FALSE,F,Novak Djokovic,2,Serbia,SRB,2,4,2341,Mikhail Youzhny,Russian Federation,RUS,15,-4,2100,7-5 5-7 6-3,7,,76,,
2/22/10,Dubai,A,3,H,FALSE,SF,Novak Djokovic,2,Serbia,SRB,2,3,2338,Marcos Baghdatis,Cyprus,CYP,37,-3,2065,6-7(2) 6-3 6-4,,,76,,
2/22/10,Dubai,A,3,H,FALSE,QF,Novak Djokovic,2,Serbia,SRB,2,3,2335,Ivan Ljubicic,Croatia,CRO,26,-2,2018,2-6 6-4 6-0,,,76,,
2/22/10,Dubai,A,3,H,FALSE,R16,Novak Djokovic,2,Serbia,SRB,2,2,2333,Viktor Troicki,Serbia,SRB,35,-2,1954,3-6 6-4 6-2,,,76,,
2/22/10,Dubai,A,3,H,FALSE,R32,Novak Djokovic,2,Serbia,SRB,2,1,2332,Guillermo Garcia Lopez,Spain,ESP,47,-2,1866,6-4 6-4,,,76,,
2/8/10,Rotterdam,A,3,H,TRUE,SF,Mikhail Youzhny,6,Russian Federation,RUS,20,17,2071,Novak Djokovic,Serbia,SRB,2,-16,2348,7-6(5) 7-6(6),1,,60,,
2/8/10,Rotterdam,A,3,H,TRUE,QF,Novak Djokovic,1,Serbia,SRB,2,,2348,Florian Mayer,Germany,GER,63,-1,1855,W/O,,,60,W/O,
2/8/10,Rotterdam,A,3,H,TRUE,R16,Novak Djokovic,1,Serbia,SRB,2,1,2347,Marco Chiudinelli,Switzerland,SUI,54,-1,1873,6-4 6-2,,,60,,
2/8/10,Rotterdam,A,3,H,TRUE,R32,Novak Djokovic,1,Serbia,SRB,2,1,2346,Sergiy Stakhovsky,Ukraine,UKR,69,-2,1874,6-2 4-1 RET,,,60,RET,
1/18/10,Australian Open,G,5,H,FALSE,QF,Jo Wilfried Tsonga,10,France,FRA,10,21,2155,Novak Djokovic,Serbia,SRB,3,-21,2367,7-6(8) 6-7(5) 1-6 6-3 6-1,3,,52,,
1/18/10,Australian Open,G,5,H,FALSE,R16,Novak Djokovic,3,Serbia,SRB,3,2,2365,Lukasz Kubot,Poland,POL,86,-2,1879,6-1 6-2 7-5,,,52,,
1/18/10,Australian Open,G,5,H,FALSE,R32,Novak Djokovic,3,Serbia,SRB,3,1,2364,Denis Istomin,Uzbekistan,UZB,103,-1,1846,6-1 6-1 6-2,,,52,,
1/18/10,Australian Open,G,5,H,FALSE,R64,Novak Djokovic,3,Serbia,SRB,3,1,2363,Marco Chiudinelli,Switzerland,SUI,58,-2,1875,3-6 6-1 6-1 6-3,,,52,,
1/18/10,Australian Open,G,5,H,FALSE,R128,Novak Djokovic,3,Serbia,SRB,3,1,2362,Daniel Gimeno Traver,Spain,ESP,74,-1,1750,7-5 6-3 6-2,,,52,,
11/22/09,Tour Finals,F,3,H,TRUE,RR,Novak Djokovic,,Serbia,SRB,3,12,2351,Rafael Nadal,Spain,ESP,2,-12,2373,7-6(5) 6-3,,,94,,
11/22/09,Tour Finals,F,3,H,TRUE,RR,Novak Djokovic,,Serbia,SRB,3,7,2344,Nikolay Davydenko,Russian Federation,RUS,7,-7,2216,3-6 6-4 7-5,,,94,,
11/22/09,Tour Finals,F,3,H,TRUE,RR,Robin Soderling,,Sweden,SWE,9,16,2199,Novak Djokovic,Serbia,SRB,3,-16,2360,7-6(5) 6-1,,,94,,
11/8/09,Paris Masters,M,3,H,TRUE,F,Novak Djokovic,3,Serbia,SRB,3,5,2355,Gael Monfils,France,FRA,16,-5,2122,6-2 5-7 7-6(3),15,,85,,
11/8/09,Paris Masters,M,3,H,TRUE,SF,Novak Djokovic,3,Serbia,SRB,3,13,2342,Rafael Nadal,Spain,ESP,2,-13,2402,6-2 6-3,2,,85,,
11/8/09,Paris Masters,M,3,H,TRUE,QF,Novak Djokovic,3,Serbia,SRB,3,7,2335,Robin Soderling,Sweden,SWE,10,-7,2189,6-4 1-6 6-3,9,,85,,
11/8/09,Paris Masters,M,3,H,TRUE,R16,Novak Djokovic,3,Serbia,SRB,3,1,2334,Arnaud Clement,France,FRA,93,-1,1887,6-2 6-2,,Q,85,,
11/8/09,Paris Masters,M,3,H,TRUE,R32,Novak Djokovic,3,Serbia,SRB,3,3,2331,Juan Monaco,Argentina,ARG,30,-3,1999,6-3 7-5,,,85,,
