Hard,Clay,Carpet,Grass,best_of,minutes,opponent_name,opp_hand,opp_ht,opp_age,opp_ace,opp_df,opp_svpt,opp_1stIn,opp_1stWon,opp_2ndWon,opp_SvGms,opp_bpSaved,opp_bpFaced,DJOK,djok_hand,djok_ht,djok_age,djok_ace,djok_df,djok_svpt,djok_1stIn,djok_1stWon,djok_2ndWon,djok_SvGms,djok_bpSaved,djok_bpFaced,Target
0.0,0.0,0.0,1.0,0.0,64.0,Nicolas Mahut,0.0,190.0,24.6,4.0,5.0,45.0,25.0,18.0,7.0,8.0,3.0,6.0,Novak Djokovic,1.0,188.0,19.3,4.0,1.0,52.0,27.0,21.0,17.0,9.0,2.0,2.0,True
0.0,0.0,0.0,1.0,0.0,60.0,Daniele Bracciali,0.0,180.0,28.7,4.0,6.0,46.0,21.0,14.0,8.0,7.0,4.0,8.0,Novak Djokovic,1.0,188.0,19.3,8.0,1.0,49.0,32.0,25.0,10.0,8.0,2.0,2.0,True
0.0,0.0,0.0,1.0,0.0,59.0,Tobias Clemens,0.0,185.0,27.1,1.0,6.0,50.0,25.0,14.0,12.0,8.0,2.0,6.0,Novak Djokovic,1.0,188.0,19.3,9.0,1.0,47.0,26.0,22.0,13.0,9.0,0.0,1.0,True
0.0,0.0,0.0,1.0,0.0,165.0,Sebastien Grosjean,0.0,175.0,28.3,10.0,0.0,107.0,57.0,41.0,25.0,16.0,5.0,9.0,Novak Djokovic,1.0,188.0,19.3,6.0,2.0,111.0,69.0,50.0,22.0,17.0,6.0,9.0,True
0.0,0.0,0.0,1.0,0.0,111.0,Jurgen Melzer,1.0,183.0,25.3,2.0,5.0,90.0,45.0,31.0,20.0,13.0,7.0,11.0,Novak Djokovic,1.0,188.0,19.3,10.0,1.0,88.0,58.0,41.0,16.0,14.0,7.0,9.0,True
0.0,0.0,0.0,1.0,0.0,57.0,Paul Henri Mathieu,0.0,185.0,24.1,3.0,2.0,50.0,30.0,18.0,8.0,8.0,3.0,7.0,Novak Djokovic,1.0,188.0,18.8,8.0,1.0,36.0,26.0,26.0,6.0,8.0,0.0,0.0,True
0.0,0.0,0.0,1.0,0.0,111.0,Andreas Seppi,0.0,190.0,21.9,7.0,5.0,85.0,39.0,29.0,19.0,14.0,4.0,10.0,Novak Djokovic,1.0,188.0,18.7,5.0,2.0,83.0,45.0,30.0,18.0,14.0,1.0,6.0,True
0.0,0.0,0.0,1.0,0.0,160.0,Tim Henman,0.0,185.0,31.4,2.0,2.0,101.0,70.0,48.0,17.0,15.0,11.0,13.0,Novak Djokovic,1.0,188.0,18.7,5.0,4.0,123.0,76.0,55.0,24.0,16.0,8.0,9.0,True
0.0,1.0,0.0,0.0,0.0,138.0,Guillermo Coria,0.0,175.0,24.3,0.0,10.0,84.0,53.0,34.0,12.0,13.0,9.0,14.0,Novak Djokovic,1.0,188.0,18.9,0.0,1.0,93.0,64.0,35.0,19.0,14.0,9.0,13.0,True
0.0,0.0,0.0,1.0,0.0,102.0,Jarkko Nieminen,1.0,185.0,25.0,3.0,0.0,78.0,51.0,37.0,12.0,11.0,1.0,2.0,Novak Djokovic,1.0,188.0,19.2,5.0,4.0,82.0,44.0,29.0,25.0,11.0,3.0,3.0,True
0.0,1.0,0.0,0.0,0.0,110.0,Jiri Vanek,0.0,185.0,28.2,3.0,1.0,79.0,52.0,31.0,10.0,14.0,3.0,10.0,Novak Djokovic,1.0,188.0,19.1,6.0,6.0,80.0,45.0,29.0,18.0,14.0,3.0,8.0,True
0.0,1.0,0.0,0.0,0.0,82.0,Carlos Moya,0.0,190.0,29.9,3.0,0.0,50.0,30.0,14.0,12.0,9.0,2.0,6.0,Novak Djokovic,1.0,188.0,19.1,0.0,3.0,61.0,41.0,30.0,11.0,10.0,2.0,3.0,True
0.0,0.0,1.0,0.0,0.0,182.0,Alexander Waske,0.0,188.0,31.2,18.0,12.0,126.0,77.0,61.0,28.0,18.0,2.0,3.0,Novak Djokovic,1.0,188.0,19.0,10.0,9.0,121.0,68.0,59.0,28.0,18.0,2.0,3.0,True
