,ref,T_1st_ad_%ServesWon,T_1st_ad_Aces,T_1st_ad_Unreturned,T_1st_ad_Returned,T_1st_ad_AvgSpeed,M_1st_ad_%ServesWon,M_1st_ad_Aces,M_1st_ad_Unreturned,M_1st_ad_Returned,M_1st_ad_AvgSpeed,W_1st_ad_%ServesWon,W_1st_ad_Aces,W_1st_ad_Unreturned,W_1st_ad_Returned,W_1st_ad_AvgSpeed,T_2nd_ad_%ServesWon,T_2nd_ad_Aces,T_2nd_ad_Unreturned,T_2nd_ad_Returned,T_2nd_ad_AvgSpeed,M_2nd_ad_%ServesWon,M_2nd_ad_Aces,M_2nd_ad_Unreturned,M_2nd_ad_Returned,M_2nd_ad_AvgSpeed,W_2nd_ad_%ServesWon,W_2nd_ad_Aces,W_2nd_ad_Unreturned,W_2nd_ad_Returned,W_2nd_ad_AvgSpeed,year
26,BD06,73.2%,8,8,25,118.0,100.0%,0,1,0,117.0,78.0%,6,13,31,117.0,73.3%,0.0,2.0,13.0,107.0,41.2%,0,2,15,96.0,55.2%,0,5,24,91.0,2015
27,bh09,75.0%,0,2,6,115.0,50.0%,0,0,2,111.0,85.7%,0,3,4,115.0,0.0%,0.0,0.0,1.0,104.0,33.3%,0,0,3,99.0,0.0%,0,0,2,94.0,2015
28,bd20,72.7%,0,4,7,109.0,0.0%,0,0,0,0.0,81.8%,1,3,7,110.0,50.0%,0.0,0.0,2.0,96.0,66.7%,0,0,3,87.0,40.0%,0,2,8,88.0,2015
29,b747,68.8%,3,5,8,127.0,66.7%,0,2,1,130.0,90.9%,1,6,4,130.0,45.5%,1.0,0.0,10.0,107.0,85.7%,0,1,6,94.0,100.0%,0,0,2,96.0,2015
30,BE90,80.0%,1,3,1,129.0,100.0%,0,1,0,132.0,33.3%,0,0,3,127.0,66.7%,0.0,0.0,3.0,111.0,0.0%,0,0,1,88.0,25.0%,0,0,4,93.0,2015
31,BA47,73.5%,5,12,17,128.0,75.0%,0,1,3,128.0,58.3%,2,2,8,124.0,0.0%,0.0,0.0,2.0,117.0,40.0%,0,1,4,107.0,38.5%,0,0,13,109.0,2015
32,BK40,80.0%,0,2,3,120.0,42.9%,0,1,6,110.0,58.3%,0,4,8,107.0,0.0%,0.0,0.0,1.0,92.0,53.8%,0,3,10,91.0,16.7%,0,0,6,94.0,2015
33,b676,53.1%,3,9,37,114.0,100.0%,0,0,1,120.0,77.3%,4,6,12,123.0,42.9%,1.0,0.0,6.0,95.0,60.0%,0,0,10,89.0,43.3%,0,4,26,86.0,2015
34,CD85,63.2%,3,3,13,119.0,41.2%,0,2,15,112.0,60.0%,0,0,10,105.0,0.0%,0.0,0.0,0.0,0.0,25.0%,0,1,3,90.0,40.0%,0,1,4,88.0,2015
35,CE25,58.8%,1,1,15,116.0,100.0%,0,2,0,119.0,57.9%,4,3,12,115.0,50.0%,0.0,1.0,3.0,94.0,45.5%,0,1,10,93.0,42.9%,0,0,7,85.0,2015
36,cf01,66.7%,1,1,7,123.0,50.0%,0,0,2,120.0,50.0%,1,2,7,122.0,0.0%,0.0,0.0,0.0,0.0,60.0%,0,1,4,88.0,38.5%,0,1,12,90.0,2015
37,CA12,50.0%,1,1,4,114.0,62.5%,0,4,4,113.0,57.9%,0,2,17,101.0,100.0%,1.0,0.0,0.0,98.0,60.0%,0,1,14,92.0,60.0%,0,0,5,93.0,2015
