,ref,T_1st_d_%ServesWon,T_1st_d_Aces,T_1st_d_Unreturned,T_1st_d_Returned,T_1st_d_AvgSpeed,M_1st_d_%ServesWon,M_1st_d_Aces,M_1st_d_Unreturned,M_1st_d_Returned,M_1st_d_AvgSpeed,W_1st_d_%ServesWon,W_1st_d_Aces,W_1st_d_Unreturned,W_1st_d_Returned,W_1st_d_AvgSpeed,T_2nd_d_%ServesWon,T_2nd_d_Aces,T_2nd_d_Unreturned,T_2nd_d_Returned,T_2nd_d_AvgSpeed,M_2nd_d_%ServesWon,M_2nd_d_Aces,M_2nd_d_Unreturned,M_2nd_d_Returned,M_2nd_d_AvgSpeed,W_2nd_d_%ServesWon,W_2nd_d_Aces,W_2nd_d_Unreturned,W_2nd_d_Returned,W_2nd_d_AvgSpeed,year
26,BD06,77.6%,13,9,27,122.0,57.1%,0,1,6,116.0,74.5%,5,21,29,113.0,40.7%,0.0,1.0,26.0,97.0,50.0%,0,2,16,100.0,71.4%,0,4,10,102.0,2015
27,bh09,77.8%,1,2,6,117.0,71.4%,0,1,6,114.0,100.0%,0,1,3,113.0,0.0%,0.0,0.0,2.0,97.0,66.7%,0,1,2,100.0,100.0%,0,0,1,105.0,2015
28,bd20,62.5%,0,1,7,119.0,0.0%,0,0,2,103.0,54.5%,1,1,9,103.0,70.0%,0.0,1.0,9.0,91.0,50.0%,0,0,4,85.0,0.0%,0,0,1,95.0,2015
29,b747,76.9%,3,3,7,131.0,50.0%,0,0,2,118.0,50.0%,1,5,8,111.0,33.3%,0.0,0.0,3.0,107.0,53.3%,0,1,14,95.0,50.0%,0,0,4,102.0,2015
30,BE90,66.7%,1,2,6,130.0,0.0%,0,0,1,117.0,33.3%,1,0,5,119.0,50.0%,0.0,0.0,2.0,99.0,0.0%,0,0,2,101.0,100.0%,0,0,2,103.0,2015
31,BA47,78.3%,7,7,9,133.0,100.0%,0,4,1,129.0,67.9%,3,6,19,122.0,55.6%,0.0,1.0,8.0,111.0,27.3%,0,1,10,115.0,0.0%,0,0,1,105.0,2015
32,BK40,66.7%,0,4,8,111.0,30.0%,0,2,8,113.0,25.0%,0,1,3,116.0,50.0%,0.0,1.0,11.0,86.0,50.0%,0,2,4,89.0,0.0%,0,0,1,90.0,2015
33,b676,72.7%,1,7,14,126.0,100.0%,0,1,0,113.0,64.3%,3,14,25,109.0,47.4%,0.0,4.0,34.0,87.0,55.6%,0,1,8,89.0,50.0%,0,2,2,97.0,2015
34,CD85,50.0%,1,4,21,111.0,50.0%,0,1,1,112.0,100.0%,1,0,5,115.0,76.9%,0.0,2.0,11.0,87.0,66.7%,0,1,11,90.0,50.0%,0,0,2,93.0,2015
35,CE25,56.2%,2,3,11,117.0,20.0%,0,1,4,94.0,46.7%,1,4,10,106.0,56.2%,0.0,5.0,11.0,89.0,90.0%,0,4,6,91.0,50.0%,0,0,2,95.0,2015
36,cf01,83.3%,1,0,5,125.0,100.0%,0,1,1,123.0,25.0%,1,0,7,110.0,41.2%,0.0,0.0,17.0,94.0,25.0%,0,0,4,93.0,50.0%,0,1,3,100.0,2015
37,CA12,51.7%,0,6,23,107.0,100.0%,0,0,2,116.0,66.7%,0,2,7,114.0,70.0%,0.0,3.0,7.0,90.0,28.6%,0,0,7,92.0,50.0%,0,1,1,104.0,2015
38,A0E2,62.5%,0,3,5,124.0,50.0%,0,0,2,120.0,50.0%,0,0,2,120.0,10.0%,0.0,0.0,10.0,95.0,100.0%,0,1,1,94.0,0.0%,0,0,0,0.0,2014
39,A479,60.0%,0,1,4,129.0,50.0%,0,0,2,122.0,50.0%,0,0,2,122.0,20.0%,0.0,1.0,4.0,98.0,25.0%,0,1,3,101.0,50.0%,0,0,2,104.0,2014
40,A678,85.7%,1,2,4,129.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,33.3%,0.0,0.0,3.0,105.0,33.3%,0,0,6,103.0,100.0%,0,2,0,112.0,2014
41,A596,60.0%,3,5,7,128.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,54.5%,0.0,2.0,9.0,91.0,20.0%,0,0,10,90.0,0.0%,0,0,1,95.0,2014
42,AG37,89.5%,6,10,22,124.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,35.3%,0.0,0.0,17.0,94.0,60.0%,0,2,18,97.0,100.0%,0,1,6,102.0,2014
43,B837,90.9%,3,4,4,114.0,72.2%,0,1,17,111.0,72.2%,0,1,17,111.0,26.7%,0.0,1.0,14.0,95.0,40.0%,0,0,15,95.0,100.0%,0,0,1,93.0,2014
44,be67,58.3%,0,2,10,110.0,25.0%,0,1,3,110.0,25.0%,0,1,3,110.0,58.3%,0.0,2.0,10.0,87.0,60.0%,0,0,5,85.0,0.0%,0,0,0,0.0,2014
45,BD06,85.7%,2,4,8,120.0,50.0%,0,0,2,117.0,50.0%,0,0,2,117.0,66.7%,0.0,4.0,2.0,95.0,55.6%,0,2,7,96.0,50.0%,0,1,1,99.0,2014
46,bh09,50.0%,0,2,12,116.0,100.0%,0,2,0,113.0,100.0%,0,2,0,113.0,100.0%,0.0,0.0,3.0,97.0,0.0%,0,0,2,102.0,0.0%,0,0,1,101.0,2014
47,bd20,63.2%,2,6,11,123.0,66.7%,0,1,2,115.0,66.7%,0,1,2,115.0,46.2%,0.0,0.0,13.0,106.0,100.0%,0,1,1,107.0,0.0%,0,0,0,0.0,2014
48,b747,70.0%,2,4,14,116.0,66.7%,0,2,1,118.0,66.7%,0,2,1,118.0,30.0%,0.0,1.0,9.0,88.0,40.0%,0,1,9,94.0,37.5%,0,1,7,99.0,2014
