,Year,Hard,Clay,Carpet,Grass,draw_size,winner_hand,winner_ht,winner_age,loser_hand,loser_ht,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
22,2005,0.0,0.0,0.0,1.0,128,1.0,193.0,24.9,0.0,188.0,17.6,5,74.0,1.0,1.0,51.0,27.0,25.0,13.0,10.0,0.0,1.0,1.0,5.0,66.0,39.0,16.0,5.0,11.0,4.0,13.0,4.0,3060.0,188.0,229.0
27,2006,0.0,0.0,0.0,1.0,48,1.0,188.0,19.4,0.0,185.0,20.3,3,98.0,9.0,3.0,72.0,47.0,38.0,13.0,13.0,3.0,6.0,5.0,3.0,82.0,51.0,37.0,15.0,13.0,2.0,5.0,17.0,1360.0,27.0,1045.0
28,2006,0.0,0.0,0.0,1.0,48,1.0,188.0,19.4,0.0,190.0,19.4,3,131.0,3.0,3.0,90.0,49.0,35.0,21.0,14.0,4.0,7.0,5.0,2.0,86.0,39.0,27.0,27.0,14.0,3.0,6.0,17.0,1360.0,19.0,1295.0
29,2006,0.0,0.0,0.0,1.0,48,1.0,183.0,26.2,0.0,188.0,19.4,3,141.0,8.0,4.0,97.0,55.0,45.0,22.0,18.0,2.0,5.0,5.0,3.0,108.0,75.0,52.0,16.0,18.0,7.0,11.0,10.0,1965.0,17.0,1360.0
30,2006,1.0,0.0,0.0,0.0,32,1.0,188.0,18.6,0.0,183.0,25.9,3,79.0,4.0,2.0,65.0,37.0,27.0,15.0,10.0,5.0,7.0,3.0,8.0,68.0,33.0,17.0,16.0,9.0,6.0,11.0,81.0,487.0,59.0,605.0
31,2006,1.0,0.0,0.0,0.0,32,1.0,188.0,18.6,0.0,185.0,27.1,3,83.0,7.0,3.0,60.0,33.0,26.0,15.0,10.0,1.0,2.0,4.0,2.0,53.0,34.0,22.0,9.0,9.0,4.0,7.0,81.0,487.0,21.0,1400.0
32,2006,1.0,0.0,0.0,0.0,32,1.0,188.0,18.6,0.0,193.0,20.4,3,60.0,10.0,0.0,49.0,34.0,29.0,9.0,9.0,2.0,2.0,10.0,2.0,44.0,27.0,20.0,7.0,8.0,1.0,4.0,81.0,487.0,215.0,173.0
33,2006,1.0,0.0,0.0,0.0,32,1.0,193.0,26.8,0.0,188.0,18.6,3,141.0,16.0,3.0,102.0,68.0,59.0,15.0,16.0,3.0,3.0,8.0,4.0,105.0,65.0,47.0,21.0,15.0,8.0,10.0,5.0,2395.0,81.0,487.0
34,2006,0.0,1.0,0.0,0.0,32,1.0,188.0,19.1,0.0,180.0,23.7,3,82.0,3.0,2.0,55.0,33.0,21.0,14.0,8.0,0.0,1.0,0.0,3.0,60.0,31.0,12.0,15.0,7.0,5.0,10.0,36.0,901.0,73.0,537.0
35,2006,0.0,1.0,0.0,0.0,32,1.0,188.0,19.1,0.0,178.0,30.4,3,86.0,13.0,4.0,61.0,41.0,33.0,11.0,9.0,4.0,4.0,1.0,2.0,73.0,36.0,24.0,17.0,9.0,9.0,12.0,36.0,901.0,127.0,355.0
36,2006,0.0,1.0,0.0,0.0,32,1.0,188.0,19.1,0.0,188.0,29.2,3,75.0,5.0,3.0,61.0,37.0,30.0,10.0,10.0,2.0,3.0,1.0,2.0,61.0,36.0,27.0,6.0,9.0,4.0,7.0,36.0,901.0,87.0,481.0
37,2006,0.0,1.0,0.0,0.0,32,1.0,188.0,19.1,0.0,175.0,24.5,3,38.0,2.0,0.0,26.0,17.0,12.0,7.0,5.0,1.0,2.0,0.0,5.0,21.0,9.0,4.0,3.0,4.0,0.0,3.0,36.0,901.0,28.0,1035.0
38,2006,0.0,1.0,0.0,0.0,32,1.0,188.0,19.1,0.0,183.0,26.7,3,162.0,9.0,3.0,68.0,36.0,27.0,16.0,11.0,2.0,4.0,11.0,4.0,89.0,40.0,27.0,25.0,11.0,7.0,10.0,36.0,901.0,37.0,890.0
39,2006,0.0,0.0,0.0,1.0,32,1.0,188.0,19.3,0.0,178.0,30.6,3,66.0,16.0,2.0,61.0,37.0,34.0,10.0,10.0,3.0,3.0,2.0,0.0,49.0,25.0,21.0,11.0,9.0,1.0,3.0,16.0,1350.0,146.0,310.0
40,2006,0.0,0.0,0.0,1.0,32,1.0,183.0,21.5,0.0,188.0,19.3,3,62.0,7.0,1.0,50.0,28.0,23.0,14.0,9.0,2.0,2.0,1.0,2.0,45.0,26.0,17.0,8.0,9.0,0.0,3.0,44.0,803.0,16.0,1350.0
41,2006,0.0,0.0,0.0,1.0,32,1.0,188.0,19.3,0.0,190.0,24.6,3,64.0,4.0,1.0,52.0,27.0,21.0,17.0,9.0,2.0,2.0,4.0,5.0,45.0,25.0,18.0,7.0,8.0,3.0,6.0,22.0,1183.0,67.0,591.0
42,2006,0.0,0.0,0.0,1.0,32,1.0,188.0,19.3,0.0,180.0,28.7,3,60.0,8.0,1.0,49.0,32.0,25.0,10.0,8.0,2.0,2.0,4.0,6.0,46.0,21.0,14.0,8.0,7.0,4.0,8.0,22.0,1183.0,66.0,601.0
43,2006,0.0,0.0,0.0,1.0,32,1.0,188.0,19.3,0.0,185.0,27.1,3,59.0,9.0,1.0,47.0,26.0,22.0,13.0,9.0,0.0,1.0,1.0,6.0,50.0,25.0,14.0,12.0,8.0,2.0,6.0,22.0,1183.0,265.0,149.0
44,2006,0.0,0.0,0.0,1.0,32,1.0,188.0,19.3,0.0,175.0,28.3,3,165.0,6.0,2.0,111.0,69.0,50.0,22.0,17.0,6.0,9.0,10.0,0.0,107.0,57.0,41.0,25.0,16.0,5.0,9.0,22.0,1183.0,35.0,910.0
45,2006,0.0,0.0,0.0,1.0,32,1.0,188.0,19.3,1.0,183.0,25.3,3,111.0,10.0,1.0,88.0,58.0,41.0,16.0,14.0,7.0,9.0,2.0,5.0,90.0,45.0,31.0,20.0,13.0,7.0,11.0,22.0,1183.0,48.0,755.0
