,OpponentId,winner_rank,Unnamed: 0,T_1st_ad_%ServesWon,T_1st_ad_Aces,T_1st_ad_Unreturned,T_1st_ad_Returned,T_1st_ad_AvgSpeed,M_1st_ad_%ServesWon,M_1st_ad_Aces,M_1st_ad_Unreturned,M_1st_ad_Returned,M_1st_ad_AvgSpeed,W_1st_ad_%ServesWon,W_1st_ad_Aces,W_1st_ad_Unreturned,W_1st_ad_Returned,W_1st_ad_AvgSpeed,T_2nd_ad_%ServesWon,T_2nd_ad_Aces,T_2nd_ad_Unreturned,T_2nd_ad_Returned,T_2nd_ad_AvgSpeed,M_2nd_ad_%ServesWon,M_2nd_ad_Aces,M_2nd_ad_Unreturned,M_2nd_ad_Returned,M_2nd_ad_AvgSpeed,W_2nd_ad_%ServesWon,W_2nd_ad_Aces,W_2nd_ad_Unreturned,W_2nd_ad_Returned,W_2nd_ad_AvgSpeed,T_1st_d_%ServesWon,T_1st_d_Aces,T_1st_d_Unreturned,T_1st_d_Returned,T_1st_d_AvgSpeed,M_1st_d_%ServesWon,M_1st_d_Aces,M_1st_d_Unreturned,M_1st_d_Returned,M_1st_d_AvgSpeed,W_1st_d_%ServesWon,W_1st_d_Aces,W_1st_d_Unreturned,W_1st_d_Returned,W_1st_d_AvgSpeed,T_2nd_d_%ServesWon,T_2nd_d_Aces,T_2nd_d_Unreturned,T_2nd_d_Returned,T_2nd_d_AvgSpeed,M_2nd_d_%ServesWon,M_2nd_d_Aces,M_2nd_d_Unreturned,M_2nd_d_Returned,M_2nd_d_AvgSpeed,W_2nd_d_%ServesWon,W_2nd_d_Aces,W_2nd_d_Unreturned,W_2nd_d_Returned,W_2nd_d_AvgSpeed,year
42,Q927,32.0,172,78.3%,5,8,10,133.0,0.0%,0,0,0,0.0,70.8%,6,8,10,119.0,,,,,,46.2%,0,0,13,101.0,66.7%,0,1,2,103.0,68.4%,6,4,9,131.0,0.0%,0,0,1,121.0,81.2%,4,5,7,131.0,,,,,,64.7%,0,3,14,95.0,66.7%,0,2,1,93.0,2012
43,RE44,8.0,8,55.6%,0,2,7,122.0,0.0%,0,0,0,0.0,71.4%,0,1,6,129.0,0.0%,0.0,0.0,1.0,102.0,50.0%,0,0,2,90.0,50.0%,0,0,2,90.0,83.3%,3,1,2,131.0,0.0%,0,0,1,110.0,80.0%,3,1,1,109.0,36.4%,0.0,2.0,9.0,93.0,33.3%,0,0,3,98.0,33.3%,0,0,3,98.0,2021
44,b747,88.0,109,62.5%,0,3,5,124.0,50.0%,0,0,2,120.0,50.0%,0,0,2,120.0,10.0%,0.0,0.0,10.0,95.0,100.0%,0,1,1,94.0,0.0%,0,0,0,0.0,66.7%,0,2,4,120.0,100.0%,0,1,0,121.0,100.0%,0,1,0,121.0,50.0%,0.0,1.0,1.0,104.0,20.0%,0,0,5,87.0,44.4%,0,1,8,91.0,2014
45,c977,8.0,48,0.0%,0,0,2,101.0,36.4%,0,1,10,91.0,70.0%,0,3,7,91.0,0.0%,0.0,0.0,2.0,101.0,36.4%,0,1,10,91.0,70.0%,0,3,7,91.0,45.5%,0,2,20,94.0,37.5%,0,0,8,96.0,100.0%,0,0,1,106.0,45.5%,0.0,2.0,20.0,94.0,37.5%,0,0,8,96.0,100.0%,0,0,1,106.0,2018
46,c977,8.0,74,75.0%,2,1,5,129.0,100.0%,0,1,0,129.0,71.4%,2,5,7,114.0,62.5%,0.0,1.0,7.0,87.0,75.0%,0,2,2,93.0,75.0%,0,2,2,93.0,88.9%,3,3,3,123.0,50.0%,0,1,1,131.0,75.0%,1,4,3,123.0,60.0%,0.0,0.0,5.0,95.0,40.0%,0,1,4,88.0,40.0%,0,1,4,88.0,2016
47,c977,8.0,95,55.6%,3,1,5,124.0,100.0%,0,2,0,114.0,40.0%,0,0,5,114.0,22.2%,0.0,1.0,8.0,90.0,0.0%,0,0,3,94.0,100.0%,0,1,0,93.0,45.5%,0,2,9,120.0,0.0%,0,0,0,0.0,80.0%,0,1,4,120.0,50.0%,0.0,0.0,2.0,93.0,50.0%,0,1,1,90.0,50.0%,0,1,5,88.0,2015
48,c977,8.0,112,60.0%,3,5,7,128.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,54.5%,0.0,2.0,9.0,91.0,20.0%,0,0,10,90.0,0.0%,0,0,1,95.0,72.7%,1,3,7,121.0,50.0%,0,1,5,123.0,50.0%,0,1,5,123.0,42.9%,0.0,1.0,6.0,98.0,25.0%,0,1,7,90.0,55.6%,1,1,7,88.0,2014
49,c977,8.0,155,57.1%,1,1,5,124.0,0.0%,0,0,0,0.0,83.3%,1,2,3,114.0,50.0%,0.0,1.0,7.0,100.0,50.0%,0,0,4,95.0,50.0%,0,1,1,100.0,66.7%,0,1,5,122.0,50.0%,0,2,4,120.0,25.0%,0,0,4,122.0,25.0%,0.0,1.0,3.0,107.0,25.0%,0,0,4,91.0,66.7%,0,0,3,87.0,2012
50,cf01,72.0,46,0.0%,0,0,0,0.0,66.7%,0,0,6,95.0,50.0%,0,2,4,96.0,0.0%,0.0,0.0,0.0,0.0,66.7%,0,0,6,95.0,50.0%,0,2,4,96.0,0.0%,0,0,3,97.0,100.0%,0,0,2,103.0,50.0%,0,0,2,102.0,0.0%,0.0,0.0,3.0,97.0,100.0%,0,0,2,103.0,50.0%,0,0,2,102.0,2018
51,d402,6.0,156,0.0%,0,0,2,90.0,75.0%,0,1,3,96.0,100.0%,0,1,1,87.0,66.7%,0.0,2.0,4.0,94.0,50.0%,0,1,1,85.0,50.0%,0,0,2,82.0,50.0%,0,1,1,105.0,0.0%,0,0,2,81.0,0.0%,0,0,1,87.0,0.0%,0.0,0.0,2.0,103.0,0.0%,0,0,0,0.0,100.0%,0,1,0,76.0,2012
52,d683,43.5,30,65.0%,6,4,10,121.0,100.0%,0,0,1,132.0,100.0%,0,0,1,132.0,0.0%,0.0,0.0,2.0,111.0,60.0%,0,1,9,90.0,100.0%,0,0,3,91.0,64.7%,1,2,14,131.0,100.0%,0,0,1,130.0,100.0%,0,0,1,130.0,38.5%,0.0,0.0,13.0,93.0,44.4%,0,1,7,93.0,0.0%,0,0,0,0.0,2019
53,d683,43.5,65,56.5%,3,3,17,118.0,100.0%,0,0,1,115.0,76.5%,5,7,5,125.0,0.0%,0.0,0.0,2.0,101.0,66.7%,0,0,3,90.0,35.7%,0,0,14,94.0,67.6%,6,6,22,128.0,50.0%,0,1,3,131.0,62.5%,3,4,9,112.0,45.5%,0.0,2.0,20.0,94.0,50.0%,0,0,2,93.0,0.0%,0,0,1,102.0,2017
54,d683,43.5,129,68.8%,0,3,13,94.0,14.3%,0,0,7,94.0,0.0%,0,0,0,0.0,68.8%,0.0,3.0,13.0,94.0,14.3%,0,0,7,94.0,0.0%,0,0,0,0.0,100.0%,0,1,2,116.0,33.3%,0,0,3,107.0,80.0%,0,1,4,91.0,100.0%,0.0,1.0,2.0,116.0,33.3%,0,0,3,107.0,80.0%,0,1,4,91.0,2013
55,d683,43.5,157,77.4%,5,10,16,126.0,58.3%,0,3,9,118.0,70.0%,4,5,11,116.0,17.6%,0.0,1.0,16.0,88.0,39.3%,0,1,27,95.0,50.0%,0,0,2,107.0,61.8%,4,5,25,120.0,60.0%,0,1,4,114.0,85.7%,2,5,14,124.0,66.7%,0.0,1.0,2.0,105.0,45.0%,0,3,17,90.0,36.4%,0,0,11,91.0,2012
56,d875,28.0,32,84.6%,6,6,14,123.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,66.7%,0.0,0.0,6.0,98.0,33.3%,0,0,6,92.0,100.0%,0,0,2,89.0,87.5%,8,6,2,130.0,0.0%,0,0,2,109.0,0.0%,0,0,2,109.0,69.6%,0.0,0.0,22.0,93.0,0.0%,0,0,0,0.0,100.0%,0,0,2,99.0,2019
57,d875,28.0,51,0.0%,0,0,0,0.0,100.0%,0,1,4,94.0,0.0%,0,0,4,93.0,0.0%,0.0,0.0,0.0,0.0,100.0%,0,1,4,94.0,0.0%,0,0,4,93.0,83.3%,0,0,6,93.0,0.0%,0,0,4,93.0,0.0%,0,0,0,0.0,83.3%,0.0,0.0,6.0,93.0,0.0%,0,0,4,93.0,0.0%,0,0,0,0.0,2018
58,d875,28.0,131,55.0%,0,1,19,101.0,46.2%,0,3,10,102.0,33.3%,0,0,3,107.0,55.0%,0.0,1.0,19.0,101.0,46.2%,0,3,10,102.0,33.3%,0,0,3,107.0,42.9%,0,1,6,114.0,56.2%,0,4,12,98.0,88.9%,0,1,8,98.0,42.9%,0.0,1.0,6.0,114.0,56.2%,0,4,12,98.0,88.9%,0,1,8,98.0,2013
59,d875,28.0,158,77.8%,0,1,8,106.0,66.7%,0,1,5,104.0,66.7%,0,1,2,108.0,37.5%,0.0,2.0,6.0,94.0,0.0%,0,0,1,99.0,0.0%,0,0,1,111.0,25.0%,0,0,4,111.0,60.0%,0,1,4,99.0,100.0%,1,2,3,106.0,0.0%,0.0,0.0,0.0,0.0,0.0%,0,0,0,0.0,0.0%,0,0,3,87.0,2012
60,da81,109.0,50,0.0%,0,0,1,108.0,66.7%,0,6,12,90.0,40.0%,0,0,5,93.0,0.0%,0.0,0.0,1.0,108.0,66.7%,0,6,12,90.0,40.0%,0,0,5,93.0,42.9%,0,0,7,96.0,64.3%,0,3,11,93.0,0.0%,0,0,0,0.0,42.9%,0.0,0.0,7.0,96.0,64.3%,0,3,11,93.0,0.0%,0,0,0,0.0,2018
61,e831,22.0,33,86.7%,2,5,8,113.0,66.7%,0,0,3,116.0,66.7%,0,0,3,116.0,100.0%,0.0,1.0,0.0,112.0,61.5%,0,2,11,94.0,22.2%,0,2,6,96.0,27.8%,2,0,16,120.0,100.0%,0,2,0,115.0,100.0%,0,2,0,115.0,50.0%,0.0,0.0,4.0,97.0,72.7%,0,6,16,97.0,0.0%,0,0,0,0.0,2019
62,e831,22.0,53,50.0%,0,0,2,108.0,100.0%,0,0,3,93.0,75.0%,0,2,6,100.0,50.0%,0.0,0.0,2.0,108.0,100.0%,0,0,3,93.0,75.0%,0,2,6,100.0,66.7%,0,1,2,100.0,28.6%,0,0,7,99.0,0.0%,0,0,0,0.0,66.7%,0.0,1.0,2.0,100.0,28.6%,0,0,7,99.0,0.0%,0,0,0,0.0,2018
63,e831,22.0,66,55.6%,1,1,7,122.0,0.0%,0,0,2,119.0,72.7%,0,3,8,109.0,100.0%,0.0,0.0,1.0,109.0,0.0%,0,0,0,0.0,44.4%,0,2,7,87.0,100.0%,1,2,4,125.0,50.0%,0,2,4,113.0,90.0%,2,2,6,110.0,70.6%,0.0,6.0,11.0,95.0,66.7%,0,1,2,100.0,0.0%,0,0,0,0.0,2017
64,e831,22.0,76,40.0%,0,1,9,113.0,50.0%,0,1,3,108.0,72.7%,0,6,5,106.0,0.0%,0.0,0.0,1.0,92.0,37.5%,0,1,7,92.0,37.5%,0,1,7,92.0,75.0%,0,4,4,109.0,50.0%,0,0,2,104.0,66.7%,0,1,8,108.0,0.0%,0.0,0.0,0.0,0.0,60.0%,0,1,9,86.0,60.0%,0,1,9,86.0,2016
65,f401,18.6,98,77.8%,1,2,6,117.0,71.4%,0,1,6,114.0,100.0%,0,1,3,113.0,0.0%,0.0,0.0,2.0,97.0,66.7%,0,1,2,100.0,100.0%,0,0,1,105.0,75.0%,0,2,6,115.0,50.0%,0,0,2,111.0,85.7%,0,3,4,115.0,0.0%,0.0,0.0,1.0,104.0,33.3%,0,0,3,99.0,0.0%,0,0,2,94.0,2015
66,f401,18.6,114,90.9%,3,4,4,114.0,72.2%,0,1,17,111.0,72.2%,0,1,17,111.0,26.7%,0.0,1.0,14.0,95.0,40.0%,0,0,15,95.0,100.0%,0,0,1,93.0,59.3%,0,7,20,112.0,71.4%,0,0,7,111.0,71.4%,0,0,7,111.0,75.0%,0.0,1.0,3.0,99.0,50.0%,0,2,18,93.0,37.5%,0,0,8,90.0,2014
67,f401,18.6,134,66.7%,0,2,4,94.0,50.0%,0,1,7,95.0,100.0%,0,0,1,98.0,66.7%,0.0,2.0,4.0,94.0,50.0%,0,1,7,95.0,100.0%,0,0,1,98.0,0.0%,0,0,2,103.0,50.0%,0,3,5,89.0,42.9%,0,1,6,91.0,0.0%,0.0,0.0,2.0,103.0,50.0%,0,3,5,89.0,42.9%,0,1,6,91.0,2013
68,f401,18.6,161,42.9%,0,1,6,119.0,75.0%,0,2,6,113.0,50.0%,0,2,6,110.0,0.0%,0.0,0.0,0.0,0.0,50.0%,0,1,5,95.0,100.0%,0,1,0,98.0,80.0%,1,0,4,116.0,0.0%,0,0,0,0.0,63.6%,1,3,7,117.0,100.0%,0.0,1.0,1.0,94.0,25.0%,0,0,4,91.0,42.9%,0,1,6,94.0,2012
69,g628,8.0,136,37.5%,0,2,6,94.0,0.0%,0,0,1,89.0,100.0%,0,0,1,96.0,37.5%,0.0,2.0,6.0,94.0,0.0%,0,0,1,89.0,100.0%,0,0,1,96.0,0.0%,0,0,0,0.0,100.0%,0,0,2,89.0,25.0%,0,1,7,90.0,0.0%,0.0,0.0,0.0,0.0,100.0%,0,0,2,89.0,25.0%,0,1,7,90.0,2013
70,g628,8.0,162,78.6%,2,5,7,120.0,0.0%,0,0,1,111.0,60.0%,0,4,16,108.0,83.3%,0.0,3.0,3.0,105.0,50.0%,0,1,3,93.0,100.0%,0,1,0,99.0,73.7%,1,7,11,111.0,0.0%,0,0,0,0.0,85.7%,2,2,10,110.0,33.3%,0.0,1.0,2.0,113.0,0.0%,0,0,1,92.0,43.8%,0,3,13,91.0,2012
71,gb88,13.0,67,27.3%,0,1,10,113.0,66.7%,0,2,1,113.0,75.0%,0,4,4,119.0,0.0%,0.0,0.0,1.0,108.0,58.3%,0,3,9,89.0,53.8%,0,2,11,87.0,54.5%,2,1,8,120.0,83.3%,0,2,4,114.0,71.4%,1,3,10,105.0,42.9%,0.0,0.0,7.0,96.0,42.9%,0,0,7,89.0,100.0%,0,0,2,95.0,2017
72,gb88,13.0,79,89.5%,5,5,9,120.0,0.0%,0,0,2,108.0,70.0%,0,5,15,103.0,42.9%,0.0,0.0,14.0,87.0,75.0%,0,0,8,93.0,75.0%,0,0,8,93.0,50.0%,2,4,12,112.0,50.0%,0,0,2,108.0,55.6%,2,1,6,119.0,57.1%,0.0,1.0,6.0,95.0,44.4%,0,0,9,90.0,44.4%,0,0,9,90.0,2016
73,gb88,13.0,99,62.5%,0,1,7,119.0,0.0%,0,0,2,103.0,54.5%,1,1,9,103.0,70.0%,0.0,1.0,9.0,91.0,50.0%,0,0,4,85.0,0.0%,0,0,1,95.0,72.7%,0,4,7,109.0,0.0%,0,0,0,0.0,81.8%,1,3,7,110.0,50.0%,0.0,0.0,2.0,96.0,66.7%,0,0,3,87.0,40.0%,0,2,8,88.0,2015
74,gb88,13.0,137,57.1%,0,0,7,94.0,50.0%,0,1,1,95.0,0.0%,0,0,1,96.0,57.1%,0.0,0.0,7.0,94.0,50.0%,0,1,1,95.0,0.0%,0,0,1,96.0,0.0%,0,0,3,102.0,0.0%,0,0,2,90.0,33.3%,0,1,5,91.0,0.0%,0.0,0.0,3.0,102.0,0.0%,0,0,2,90.0,33.3%,0,1,5,91.0,2013
75,h355,31.0,139,0.0%,0,0,0,0.0,25.0%,0,0,4,90.0,80.0%,0,2,3,95.0,0.0%,0.0,0.0,0.0,0.0,25.0%,0,0,4,90.0,80.0%,0,2,3,95.0,100.0%,0,1,1,94.0,100.0%,0,0,4,89.0,66.7%,0,1,2,91.0,100.0%,0.0,1.0,1.0,94.0,100.0%,0,0,4,89.0,66.7%,0,1,2,91.0,2013
76,h355,31.0,165,57.1%,1,1,5,118.0,0.0%,0,0,1,118.0,37.5%,0,1,7,113.0,33.3%,0.0,0.0,6.0,88.0,0.0%,0,0,4,100.0,100.0%,0,0,2,105.0,71.4%,1,2,4,119.0,0.0%,0,0,1,108.0,66.7%,0,2,7,119.0,0.0%,0.0,0.0,0.0,0.0,20.0%,0,0,5,96.0,0.0%,0,0,2,96.0,2012
77,i165,117.0,142,100.0%,0,2,1,92.0,75.0%,0,2,10,92.0,50.0%,0,1,3,95.0,100.0%,0.0,2.0,1.0,92.0,75.0%,0,2,10,92.0,50.0%,0,1,3,95.0,36.4%,0,2,9,96.0,20.0%,0,0,5,94.0,0.0%,0,0,0,0.0,36.4%,0.0,2.0,9.0,96.0,20.0%,0,0,5,94.0,0.0%,0,0,0,0.0,2013
78,i186,16.5,37,46.2%,6,4,16,132.0,66.7%,0,0,6,135.0,66.7%,0,0,6,135.0,0.0%,0.0,0.0,2.0,123.0,0.0%,0,0,2,130.0,66.7%,0,4,5,127.0,44.4%,2,4,12,136.0,50.0%,0,0,4,134.0,50.0%,0,0,4,134.0,100.0%,2.0,4.0,4.0,129.0,100.0%,0,4,2,129.0,0.0%,0,0,0,0.0,2019
79,i186,16.5,102,78.3%,7,7,9,133.0,100.0%,0,4,1,129.0,67.9%,3,6,19,122.0,55.6%,0.0,1.0,8.0,111.0,27.3%,0,1,10,115.0,0.0%,0,0,1,105.0,73.5%,5,12,17,128.0,75.0%,0,1,3,128.0,58.3%,2,2,8,124.0,0.0%,0.0,0.0,2.0,117.0,40.0%,0,1,4,107.0,38.5%,0,0,13,109.0,2015
80,i186,16.5,118,63.2%,2,6,11,123.0,66.7%,0,1,2,115.0,66.7%,0,1,2,115.0,46.2%,0.0,0.0,13.0,106.0,100.0%,0,1,1,107.0,0.0%,0,0,0,0.0,43.8%,3,2,11,124.0,60.0%,0,2,3,117.0,60.0%,0,2,3,117.0,66.7%,0.0,0.0,3.0,111.0,66.7%,0,1,2,97.0,30.8%,0,1,12,102.0,2014
81,i186,16.5,141,45.5%,0,1,10,107.0,36.4%,0,3,8,108.0,0.0%,0,0,0,0.0,45.5%,0.0,1.0,10.0,107.0,36.4%,0,3,8,108.0,0.0%,0,0,0,0.0,0.0%,0,0,3,111.0,77.8%,0,1,8,106.0,66.7%,0,5,7,105.0,0.0%,0.0,0.0,3.0,111.0,77.8%,0,1,8,106.0,66.7%,0,5,7,105.0,2013
82,i186,16.5,167,75.0%,4,9,7,131.0,0.0%,0,0,1,122.0,82.6%,10,3,10,122.0,72.7%,0.0,2.0,9.0,95.0,14.3%,0,0,7,107.0,100.0%,0,0,1,112.0,55.6%,3,4,11,130.0,0.0%,0,0,0,0.0,76.2%,3,3,15,119.0,0.0%,0.0,0.0,0.0,0.0,25.0%,0,1,3,107.0,72.7%,1,3,7,105.0,2012
83,ke17,16.5,68,91.7%,4,7,1,133.0,0.0%,0,0,0,0.0,88.9%,4,3,2,127.0,0.0%,0.0,0.0,0.0,0.0,100.0%,0,0,1,105.0,100.0%,0,2,2,93.0,71.4%,0,0,7,134.0,100.0%,0,1,1,135.0,83.3%,3,4,5,118.0,83.3%,0.0,0.0,6.0,93.0,100.0%,0,2,1,109.0,50.0%,1,0,1,112.0,2017
84,l397,24.0,69,100.0%,1,1,4,133.0,0.0%,0,0,1,114.0,91.7%,3,3,6,119.0,0.0%,0.0,0.0,0.0,0.0,50.0%,0,1,3,99.0,100.0%,0,0,1,61.0,83.3%,0,2,4,120.0,0.0%,0,0,0,0.0,77.8%,1,3,5,130.0,50.0%,0.0,0.0,4.0,81.0,0.0%,0,0,0,0.0,100.0%,0,0,2,107.0,2017
85,l397,24.0,81,62.5%,0,1,7,124.0,75.0%,0,1,3,124.0,83.3%,0,0,6,122.0,57.1%,0.0,0.0,7.0,93.0,50.0%,0,1,1,94.0,50.0%,0,1,1,94.0,85.7%,3,2,2,129.0,0.0%,0,0,0,0.0,100.0%,2,0,1,119.0,100.0%,0.0,1.0,1.0,99.0,35.7%,0,1,13,101.0,35.7%,0,1,13,101.0,2016
86,l397,24.0,168,100.0%,0,0,2,118.0,80.0%,0,4,1,122.0,85.7%,3,2,2,124.0,63.6%,0.0,2.0,9.0,88.0,50.0%,0,1,3,97.0,0.0%,0,0,1,103.0,75.0%,0,1,3,133.0,33.3%,0,0,3,119.0,80.0%,0,3,2,115.0,100.0%,0.0,2.0,0.0,96.0,25.0%,0,2,6,100.0,100.0%,0,0,2,97.0,2012
87,mc10,4.2727272727272725,84,89.3%,7,9,12,129.0,100.0%,0,0,1,107.0,61.1%,1,3,14,111.0,58.8%,0.0,3.0,14.0,92.0,16.7%,0,0,6,92.0,16.7%,0,0,6,92.0,76.9%,5,4,17,117.0,0.0%,0,0,0,0.0,50.0%,0,5,7,127.0,40.0%,0.0,0.0,5.0,94.0,55.6%,0,2,7,89.0,55.6%,0,2,7,89.0,2016
88,mc10,4.2727272727272725,104,72.7%,1,7,14,126.0,100.0%,0,1,0,113.0,64.3%,3,14,25,109.0,47.4%,0.0,4.0,34.0,87.0,55.6%,0,1,8,89.0,50.0%,0,2,2,97.0,53.1%,3,9,37,114.0,100.0%,0,0,1,120.0,77.3%,4,6,12,123.0,42.9%,1.0,0.0,6.0,95.0,60.0%,0,0,10,89.0,43.3%,0,4,26,86.0,2015
89,mc10,4.2727272727272725,123,100.0%,3,0,2,128.0,75.0%,0,2,2,104.0,75.0%,0,2,2,104.0,58.8%,0.0,2.0,15.0,86.0,33.3%,0,0,6,89.0,0.0%,0,0,1,96.0,63.0%,1,4,22,111.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,20.0%,1.0,0.0,4.0,94.0,71.4%,0,0,7,81.0,62.5%,0,0,8,83.0,2014
90,mc10,4.2727272727272725,170,73.3%,10,14,21,130.0,60.0%,0,0,5,110.0,54.8%,1,6,35,108.0,50.0%,0.0,1.0,9.0,87.0,61.5%,0,2,11,90.0,60.0%,0,2,3,96.0,70.8%,2,10,36,115.0,40.0%,0,0,5,105.0,68.0%,2,8,15,125.0,25.0%,0.0,0.0,4.0,100.0,40.0%,0,1,19,86.0,55.6%,0,6,30,86.0,2012
91,n409,2.1379310344827585,6,81.8%,1,4,6,122.0,28.6%,0,0,7,111.0,58.8%,1,3,13,107.0,0.0%,0.0,0.0,1.0,101.0,66.7%,0,3,3,88.0,66.7%,0,3,3,88.0,69.0%,0,5,24,115.0,100.0%,0,1,3,116.0,50.0%,1,0,1,118.0,42.9%,0.0,0.0,7.0,92.0,42.9%,0,1,6,94.0,42.9%,0,1,6,94.0,2021
92,n409,2.1379310344827585,23,72.7%,1,2,8,121.0,25.0%,0,1,3,122.0,85.7%,1,4,9,111.0,100.0%,0.0,0.0,1.0,106.0,100.0%,0,0,1,98.0,0.0%,0,0,1,97.0,71.4%,0,3,4,122.0,100.0%,0,0,3,120.0,78.6%,3,3,8,120.0,25.0%,0.0,0.0,4.0,95.0,33.3%,0,2,4,97.0,50.0%,0,0,2,102.0,2020
93,n409,2.1379310344827585,41,75.0%,0,1,3,120.0,80.0%,0,0,5,116.0,80.0%,0,0,5,116.0,0.0%,0.0,0.0,1.0,103.0,100.0%,0,0,1,99.0,50.0%,0,0,6,89.0,77.8%,0,5,13,115.0,0.0%,0,0,2,117.0,0.0%,0,0,2,117.0,70.0%,0.0,1.0,9.0,91.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,2019
94,n409,2.1379310344827585,70,81.8%,0,3,8,120.0,100.0%,0,0,2,119.0,71.4%,1,1,5,111.0,50.0%,0.0,0.0,2.0,108.0,0.0%,0,0,3,95.0,66.7%,0,0,3,91.0,66.7%,0,0,3,119.0,100.0%,0,0,1,115.0,80.0%,1,4,5,118.0,66.7%,0.0,1.0,2.0,100.0,100.0%,0,1,4,95.0,0.0%,0,0,1,102.0,2017
95,n409,2.1379310344827585,85,53.3%,1,4,10,108.0,55.2%,0,6,23,107.0,74.1%,3,7,17,109.0,75.0%,0.0,3.0,9.0,87.0,40.0%,0,0,5,87.0,40.0%,0,0,5,87.0,61.1%,0,4,14,112.0,55.0%,0,7,33,103.0,46.2%,0,1,12,106.0,100.0%,0.0,0.0,1.0,84.0,50.0%,0,0,8,88.0,50.0%,0,0,8,88.0,2016
96,n409,2.1379310344827585,105,50.0%,1,4,21,111.0,50.0%,0,1,1,112.0,100.0%,1,0,5,115.0,76.9%,0.0,2.0,11.0,87.0,66.7%,0,1,11,90.0,50.0%,0,0,2,93.0,63.2%,3,3,13,119.0,41.2%,0,2,15,112.0,60.0%,0,0,10,105.0,0.0%,0.0,0.0,0.0,0.0,25.0%,0,1,3,90.0,40.0%,0,1,4,88.0,2015
97,n409,2.1379310344827585,124,40.0%,0,5,25,111.0,56.2%,0,4,12,111.0,56.2%,0,4,12,111.0,53.8%,0.0,1.0,12.0,88.0,28.6%,0,1,6,89.0,0.0%,0,0,0,0.0,50.0%,2,2,10,121.0,57.1%,0,3,4,108.0,57.1%,0,3,4,108.0,0.0%,0.0,0.0,3.0,94.0,77.8%,0,1,8,90.0,50.0%,0,2,2,85.0,2014
98,n409,2.1379310344827585,146,63.6%,0,2,9,88.0,40.0%,0,0,15,87.0,50.0%,0,0,2,98.0,63.6%,0.0,2.0,9.0,88.0,40.0%,0,0,15,87.0,50.0%,0,0,2,98.0,100.0%,0,2,0,96.0,55.6%,0,2,7,88.0,28.6%,0,0,7,86.0,100.0%,0.0,2.0,0.0,96.0,55.6%,0,2,7,88.0,28.6%,0,0,7,86.0,2013
99,n409,2.1379310344827585,171,58.3%,0,0,12,115.0,66.7%,0,2,4,113.0,80.0%,2,4,9,110.0,66.7%,0.0,0.0,6.0,93.0,40.0%,0,0,10,91.0,100.0%,0,1,1,97.0,75.0%,1,5,14,120.0,80.0%,0,0,5,113.0,100.0%,0,2,4,112.0,0.0%,0.0,0.0,0.0,0.0,44.4%,0,1,8,89.0,80.0%,0,1,4,88.0,2012
100,r419,20.5,127,47.4%,1,4,14,121.0,66.7%,0,1,2,115.0,66.7%,0,1,2,115.0,50.0%,0.0,1.0,7.0,95.0,76.9%,0,3,10,94.0,0.0%,0,0,0,0.0,70.0%,4,1,15,116.0,100.0%,0,2,3,117.0,100.0%,0,2,3,117.0,50.0%,0.0,1.0,3.0,100.0,77.8%,0,0,9,95.0,33.3%,0,1,2,97.0,2014
